,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,727843822277906434,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @gloed_up: Here's the perfect explanation for why white people need to stop saying #AllLivesMatter https://t.co/QxjJzLmTm7,2016-05-04 12:54,Twitter Web Client,,,,True,3312143142,7.277637158950011e+17,,,0.0,0.0,0.0,0.0,[AllLivesMatter],[],[3312143142],
1,629792643728277504,2753146444,Cleveland Online,OnlineCleveland,"City of Cleveland, USA","Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements",,19351,8207,2014-08-28,en,en,A сop killed a white teen and the #AllLivesMatter crowd said nothing  http://t.co/plMpERYNGi http://t.co/c1pgE5Pk8n,2015-08-07 23:14,TweetDeck,,,,False,,,,,0.0,1.0,3.0,3.0,[AllLivesMatter],[http://www.huffingtonpost.com/entry/zachary-hammond-police-killing_55c0e240e4b0c9fdc75dfda3?utm_hp_ref=black-voices&ir=Black%2BVoices&section=black-voices&kvcommref=mostpopular&ncid=fcbklnkushpmg00000047],,
2,788753321565630464,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,und,"#AllLivesMatter, duh! 😂😂😭😭 https://t.co/outWgzZ6QV",2016-10-19 14:47,TweetDeck,,,7.884265632094085e+17,False,,,,,3.0,1.0,16.0,15.0,[AllLivesMatter],[https://twitter.com/amvrion/status/788426563209408512],,
3,783760315162910720,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,en,"RT @smilleesims: Dear #AllLivesMatter, you still think us complaining about police brutality and targeted assault is bullshit? K. https://t…",2016-10-05 20:06,Twitter Web Client,,,,True,271159884,7.830896273012408e+17,,,0.0,0.0,0.0,0.0,[AllLivesMatter],[],[271159884],
4,732244391453204480,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @fb6f6cc1a31b47965d9894b89d576add7a679a77e9022aad33d6c0c2310cd789: #BlackLivesMatter n something else we should always keep in mind is that #AllLivesMatter we're all in this together https:/…,2016-05-16 16:20,Twitter Web Client,,,,True,fb6f6cc1a31b47965d9894b89d576add7a679a77e9022aad33d6c0c2310cd789,7.322298737673052e+17,,,0.0,0.0,0.0,0.0,"[BlackLivesMatter, AllLivesMatter]",[],[fb6f6cc1a31b47965d9894b89d576add7a679a77e9022aad33d6c0c2310cd789],
5,698406543302205440,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Well I juss wanna know... The question to all non-black #AllLivesMatter activists https://t.co/VHxnH1Xroe,2016-02-13 07:21,Twitter Web Client,,,,False,,,,,0.0,0.0,25.0,20.0,[AllLivesMatter],[],,
6,638379606530068481,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Everyday. Stay true to #YOURSELF. #PoliceBrutality #policeViolence #FuckthePolice #BlackLivesMatter #AllLivesMatter http://t.co/TuJ2O6NFWl,2015-08-31 15:55,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,3.0,"[YOURSELF, PoliceBrutality, policeViolence, FuckthePolice, BlackLivesMatter, AllLivesMatter]",[],,
7,761377202776645633,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,This pic is just another slap to the lying Media!  Please spread it! #AllLivesMatter https://t.co/CV4Xc3OiY7,2016-08-05 01:44,TweetDeck,,,,False,,,,,11.0,16.0,392.0,421.0,[AllLivesMatter],[],,
8,652489089267056645,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Powerful words about the #OregonShooting #police #criminals #acab #BlackLivesMatter #AllLivesMatter http://t.co/Fkfev14iDu,2015-10-09 14:21,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,3.0,"[OregonShooting, police, criminals, acab, BlackLivesMatter, AllLivesMatter]",[],,
9,632370551403626496,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,und,Yes!  #equality #AllLivesMatter http://t.co/NNd2SGr8f4,2015-08-15 01:57,Twitter Web Client,,,,False,,,,,0.0,1.0,2.0,5.0,"[equality, AllLivesMatter]",[],,
