,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,750758929735507968,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,Truth about #AltonSterling  If he followed the cops orders from the start he would be alive. https://t.co/dTlcGwadPS,2016-07-06 18:30,TweetDeck,,,,False,,,,,1.0,0.0,9.0,12.0,[AltonSterling],[],,
1,859541027270647808,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,For one guilty cop we got two murder cops who will walk free. That's not how justice should work #AltonSterling https://t.co/i9wBJBjeOF,2017-05-02 22:52,Twitter Web Client,,,,False,,,,,2.0,1.0,25.0,23.0,[AltonSterling],[https://blackmattersus.com/33273-officers-wont-be-charged-in-fatal-shooting-of-alton-sterling/],,
2,750588157712801792,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,"They want to be black for our features, music, athleticism, fashion, etc. But not black for the struggle. #LetsBeClear #AltonSterling",2016-07-06 07:12,Twitter Web Client,,,,False,,,,,4.0,2.0,76.0,69.0,"[LetsBeClear, AltonSterling]",[],,
3,751013708126687232,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @gloed_up: 1.Cops kills black dude 2.Officers go on paid-leave 3.No criminal punishment ensued 4.People riot for #AltonSterling.  5.Repe…,2016-07-07 11:23,Twitter Web Client,,,,True,3312143142,7.505839498361242e+17,,,0.0,0.0,0.0,0.0,[AltonSterling],[],[3312143142],
4,751124515342655488,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,2 Black men executed in a week by state sponsored officers. Say their names #PhilandoCastile #AltonSterling https://t.co/eItqDVhSog,2016-07-07 18:43,TweetDeck,,,,False,,,,,7.0,6.0,169.0,257.0,"[PhilandoCastile, AltonSterling]",[],,
5,750741519196389376,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,She is so damn awake!!!  We stand with our community.  Make this go viral in honor of #AltonSterling ✊🏾 https://t.co/3Nvnr7PTDp,2016-07-06 17:21,Twitter Web Client,,,,False,,,,,67.0,7.0,943.0,1023.0,[AltonSterling],[],,
6,751504525203107840,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,"NRA sends condolences to Dallas victims' families, but not to #PhiladoCastile &amp; #AltonSterling's relatives. https://t.co/hKZfFCRFzH",2016-07-08 19:53,TweetDeck,,,,False,,,,,8.0,6.0,14.0,40.0,"[PhiladoCastile, AltonSterling]",[http://www.nydailynews.com/news/national/dallas-massacre-nra-sends-selective-condolences-article-1.2704517],,
7,755174984130170882,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @gloed_up: #JavierDunn was bloodied and beaten by police during an #AltonSterling protest at Baton Rouge Boost this asap https://t.co/Xf…,2016-07-18 22:58,Twitter Web Client,,,,True,3312143142,7.551624832377487e+17,,,0.0,0.0,0.0,0.0,"[JavierDunn, AltonSterling]",[],[3312143142],
8,750657284058013697,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,RT @melo_ara: #AltonSterling  https://t.co/VmGBbOv9Nb,2016-07-06 11:46,Twitter Web Client,,,7.505826752374702e+17,True,740148020,7.506571213945897e+17,,,0.0,0.0,0.0,0.0,[AltonSterling],[https://twitter.com/gloed_up/status/750582675237470208],[740148020],
9,750583949836124161,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"1.Cops kills black dude 2.Officers go on paid-leave 3.No criminal punishment ensued 4.People riot for #AltonSterling.  5.Repeat, new city.",2016-07-06 06:55,Twitter Web Client,,,,False,,,,,81.0,10.0,1065.0,1675.0,[AltonSterling],[],,
