,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,880158507646963713,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,"So sad to see an off-duty Lansing police officer pinning down a Black teen, and threatening his life. Black people aren't safe in #AmeriKKKa https://t.co/MWhg4sDbBp",2017-06-28 20:18,Twitter Web Client,,,,False,,,,,46.0,28.0,213.0,258.0,[AmeriKKKa],[],,
1,711133132674576384,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,In #AmeriKKKa only! https://t.co/SOoAyCLwLU,2016-03-19 10:12,Twitter Web Client,,,7.106278906359235e+17,False,,,,,0.0,0.0,1.0,1.0,[AmeriKKKa],[https://twitter.com/Solutioneer72/status/710627890635923464],,
2,878693231038521344,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @gloed_up: #Amerikkka: Three black teens and an adult were handcuffed by plainclothes U.S. Park Police officers on the National Mall for…,2017-06-24 19:16,Twitter Web Client,,,,True,3312143142,8.786928101988311e+17,,,0.0,0.0,0.0,0.0,[Amerikkka],[],[3312143142],
3,797546357280112640,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"3 Jewish students woke up to this on their door, in a dorm at The New School   #HATEIT #AmeriKKKa https://t.co/BLoi59aGDq",2016-11-12 21:07,Twitter Web Client,,,,False,,,,,5.0,1.0,51.0,73.0,"[HATEIT, AmeriKKKa]",[],,
4,799356392301658112,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @gloed_up: basically.. #racisminamerica #AmeriKKKa https://t.co/ZvpD1nttpR,2016-11-17 20:59,Twitter Web Client,,,,True,3312143142,7.99355554485375e+17,,,0.0,0.0,0.0,0.0,"[racisminamerica, AmeriKKKa]",[],[3312143142],
5,711636457031532544,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Extended version 😄 #AmeriKKKa https://t.co/dn1EolPoY2,2016-03-20 19:32,TweetDeck,,,,False,,,,,0.0,1.0,16.0,18.0,[AmeriKKKa],[],,
6,710827934596993024,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,"The Ku Klux Klan, a white supremacist group, was designated a terrorist group in 1871 by Congress. #AmeriKKKa https://t.co/l7YTeNiUWR",2016-03-18 13:59,Twitter Web Client,,,,False,,,,,0.0,3.0,27.0,57.0,[AmeriKKKa],[],,
7,796885485994053632,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Do i even need to comment this? #racism #ameriKKKa https://t.co/MVHCpT1ft7,2016-11-11 01:21,Twitter Web Client,,,,False,,,,,3.0,1.0,199.0,137.0,"[racism, ameriKKKa]",[],,
8,770005415786639362,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,A church in North Carolina regularly holds Racists Anonymous meetings #RacistsAnonymous #AmeriKKKa https://t.co/QrJluyekzT,2016-08-28 21:09,Twitter Web Client,,,,False,,,,,11.0,5.0,36.0,68.0,"[RacistsAnonymous, AmeriKKKa]",[],,
9,704706620408905730,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Still don't get it: how the system works? #BlackPanthers #AmeriKKKa https://t.co/XsrkiTQ7HG,2016-03-01 16:35,TweetDeck,,,,False,,,,,0.0,1.0,18.0,14.0,"[BlackPanthers, AmeriKKKa]",[],,
10,788885880639455233,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @gloed_up: The system was built this way #racism #AmeriKKKa https://t.co/rlm2kkmFFS,2016-10-19 23:33,Twitter Web Client,,,,True,3312143142,7.888845866128138e+17,,,0.0,0.0,0.0,0.0,"[racism, AmeriKKKa]",[],[3312143142],
11,788885457677484032,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @gloed_up: The system was built this way #racism #AmeriKKKa https://t.co/rlm2kkmFFS,2016-10-19 23:32,Twitter Web Client,,,,True,3312143142,7.888845866128138e+17,,,0.0,0.0,0.0,0.0,"[racism, AmeriKKKa]",[],[3312143142],
12,799356804983623680,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @gloed_up: basically.. #racisminamerica #AmeriKKKa https://t.co/ZvpD1nttpR,2016-11-17 21:01,Twitter Web Client,,,,True,3312143142,7.99355554485375e+17,,,0.0,0.0,0.0,0.0,"[racisminamerica, AmeriKKKa]",[],[3312143142],
13,710865693378355200,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"RT @BleepThePolice: The Ku Klux Klan, a white supremacist group, was designated a terrorist group in 1871 by Congress. #AmeriKKKa https://t…",2016-03-18 16:29,Twitter Web Client,,,,True,1687183549,7.10827934596993e+17,,,0.0,0.0,0.0,0.0,[AmeriKKKa],[],[1687183549],
14,874405511806033920,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"So much for "" it's about our heritage"" #AmeriKKKa https://t.co/hYqjh6Ahri",2017-06-12 23:18,Twitter Web Client,,,,False,,,,,5.0,3.0,171.0,148.0,[AmeriKKKa],[],,
15,708188948292509696,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @Fresh_Flames1: @soulful_chica @gloed_up Trumps Slogan Make America Great Again Is Code For Rebirth Of A Racist Nation #Amerikkka https:…,2016-03-11 07:12,Twitter Web Client,,,,True,1620371462,7.080821141058847e+17,,,0.0,0.0,0.0,0.0,[Amerikkka],[],"[3312143142, 2370531367, 1620371462]",
16,663499018085928960,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,@Virtuous_Queen_ @330Kingish carefully preserved tradition in #amerikkka,2015-11-08 23:31,Twitter Web Client,6.634575199944499e+17,156093276,,False,,,,,0.0,0.0,1.0,1.0,[amerikkka],[],"[2269982365, 156093276]",
17,787750060180275200,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @gloed_up: let’s state what the problem is #AmeriKKKa https://t.co/kWrGdeZKOL,2016-10-16 20:20,Twitter Web Client,,,,True,3312143142,7.8774902807117e+17,,,0.0,0.0,0.0,0.0,[AmeriKKKa],[],[3312143142],
18,799355554485374977,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,basically.. #racisminamerica #AmeriKKKa https://t.co/ZvpD1nttpR,2016-11-17 20:56,Twitter Web Client,,,,False,,,,,8.0,4.0,820.0,874.0,"[racisminamerica, AmeriKKKa]",[],,
19,662036881459122176,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Just a little reminder #ReverseRacism #BlackLivesMatter #racism #Amerikkka https://t.co/TiUkE32WRG,2015-11-04 22:41,Twitter Web Client,,,,False,,,,,0.0,2.0,9.0,3.0,"[ReverseRacism, BlackLivesMatter, racism, Amerikkka]",[],,
20,778952014298353665,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Just seen this....these people more upset about protest than the actual killing of unarmed men.... #AMERIKKKA got a long way to go https://t.co/udn7XtnG8V,2016-09-22 13:40,TweetDeck,,,,False,,,,,13.0,8.0,52.0,70.0,[AMERIKKKA],[],,
21,727237040320970752,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,und,RT @shariline: #AMERIKKKA https://t.co/Yc5qH594E8,2016-05-02 20:43,Twitter Web Client,,,,True,463977154,7.271365712967639e+17,,,0.0,0.0,0.0,0.0,[AMERIKKKA],[https://twitter.com/BleepThePolice/status/726893865676869632],[463977154],
22,708321721791590400,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Hey white people! If you wanna white history month you start with this monument in Florida #Racism #AmeriKKKa https://t.co/6lCN98LOfB,2016-03-11 16:00,TweetDeck,,,,False,,,,,0.0,0.0,9.0,5.0,"[Racism, AmeriKKKa]",[],,
23,743334142289448960,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,We rest our case  #WAKEUP OR DIE SLEEP #orlandoShootings #Amerikkka https://t.co/qIrnHNlGjQ,2016-06-16 06:47,Twitter Web Client,,,,False,,,,,0.0,0.0,18.0,13.0,"[WAKEUP, orlandoShootings, Amerikkka]",[],,
24,663473949817241600,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,put yourself together! #racism #immigrant #aliens #usa #us #amerikkka https://t.co/Uj3KcQ7CQp,2015-11-08 21:51,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,2.0,"[racism, immigrant, aliens, usa, us, amerikkka]",[],,
25,796887906354917376,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @BleepThePolice: Do i even need to comment this? #racism #ameriKKKa https://t.co/MVHCpT1ft7,2016-11-11 01:30,Twitter Web Client,,,,True,1687183549,7.968854859940536e+17,,,0.0,0.0,0.0,0.0,"[racism, ameriKKKa]",[],[1687183549],
26,709434484169400320,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @Empress_Orit: Sad &amp; he is the one taken in handcuffs. They beat us bloody &amp; put us in the clink for it... #Amerikkka the ugly! https://…,2016-03-14 17:42,Twitter Web Client,,,,True,2652517759,7.094342959459287e+17,,,0.0,0.0,0.0,0.0,[Amerikkka],[https://twitter.com/gloed_up/status/708741988481282048],[2652517759],
27,788884586612813824,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,The system was built this way #racism #AmeriKKKa https://t.co/rlm2kkmFFS,2016-10-19 23:28,Twitter Web Client,,,,False,,,,,7.0,2.0,162.0,203.0,"[racism, AmeriKKKa]",[],,
28,796848445575299072,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @goinvestboston: He will be rehired by a neighboring county within the week. #ameriKKKa https://t.co/TIchOKugau,2016-11-10 22:54,Twitter Web Client,,,7.968329102339686e+17,True,328206816,7.968331310767104e+17,,,0.0,0.0,0.0,0.0,[ameriKKKa],[https://twitter.com/BleepThePolice/status/796832910233968640],[328206816],
29,706282321612283904,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,that's called #AmeriKKKa https://t.co/OnAGaXhBEs,2016-03-06 00:56,Twitter Web Client,,,,False,,,,,0.0,0.0,16.0,35.0,[AmeriKKKa],[],,
30,878342543758442496,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,I wonder what life would be like if #AmeriKKKa didn't criminalize blackness,2017-06-23 20:02,Twitter Web Client,,,,False,,,,,5.0,8.0,103.0,61.0,[AmeriKKKa],[],,
31,770748080782241792,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Because that's just too much to bear #Racism #AmeriKKKa https://t.co/3Gc9OBnocQ,2016-08-30 22:20,Twitter Web Client,,,,False,,,,,1.0,3.0,55.0,71.0,"[Racism, AmeriKKKa]",[],,
32,662045265315033088,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,those three words #BlackLivesMatter  #VHS #TarantinoIsRight #PoliceBrutality #Amerikkka https://t.co/FPEgQO13mu,2015-11-04 23:14,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[BlackLivesMatter, VHS, TarantinoIsRight, PoliceBrutality, Amerikkka]",[],,
