,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,775423865790935040,4217244274,Yahaya Thinbu,Blk_Voice,"Mohnton, PA",Activist. Feminist. Celebrating and highlighting Black excellence.,https://t.co/4xjFyHX444,11766,6966,2015-11-18,en,und,#BlackBeauty https://t.co/9fqgx0LBwt,2016-09-12 20:00,TweetDeck,,,,False,,,,,0.0,0.0,18.0,9.0,[BlackBeauty],[],,
1,698488040856166405,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,brooklyn botanical gardens at sunset.#BlackGirlMagic #blackBeauty https://t.co/OHf8vrntcq,2016-02-13 12:45,Twitter Web Client,,,,False,,,,,0.0,0.0,6.0,3.0,"[BlackGirlMagic, blackBeauty]",[],,
2,721450444288061440,4208754922,People For Justice!,MissouriNewsUS,,#NeverHillary,,5401,5939,2015-11-17,en,en,Baltimore Feel's The Bern!  #FeelTheBern #BlackBeauty https://t.co/2oDCkah1cl,2016-04-16 21:29,Twitter Web Client,,,,False,,,,,0.0,3.0,15.0,6.0,"[FeelTheBern, BlackBeauty]",[],,
3,658223974950694912,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,und,#blackgirlsarewinning #blackgirlsaremagic #BlackLivesMatter #BlackBeauty https://t.co/rBdVANSnL7,2015-10-25 10:09,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,0.0,"[blackgirlsarewinning, blackgirlsaremagic, BlackLivesMatter, BlackBeauty]",[],,
4,892107736225337344,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @TrayneshaCole: These sorority sisters put a twist on the ‘Sports Illustrated’ swimsuit issue to honor #blackbeauty 😍😍🙏🏾🙏🏾🙏🏾 https://t.c…,2017-07-31 19:40,Twitter Web Client,,,,True,4859142199,8.92100976978559e+17,,,0.0,0.0,0.0,0.0,[blackbeauty],[],[4859142199],
5,735978904758849536,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,und,#BlackBeauty https://t.co/k96Fyet3Ad,2016-05-26 23:40,Twitter Web Client,,,,False,,,,,0.0,1.0,28.0,27.0,[BlackBeauty],[],,
6,731092295714361345,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,YES! So much NATURAL BEAUTY in one photo! #BlackBeauty https://t.co/ZMJrb2xfo3,2016-05-13 12:02,Twitter Web Client,,,,False,,,,,0.0,0.0,27.0,11.0,[BlackBeauty],[],,
7,720066196649848833,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,und,#BlackBeauty https://t.co/Fr4Bk1nSWe,2016-04-13 01:48,Twitter Web Client,,,,False,,,,,0.0,1.0,50.0,32.0,[BlackBeauty],[],,
8,892100976978558977,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,These sorority sisters put a twist on the ‘Sports Illustrated’ swimsuit issue to honor #blackbeauty 😍😍🙏🏾🙏🏾🙏🏾 https://t.co/8mbaEAt0sF,2017-07-31 19:13,Twitter Web Client,,,,False,,,,,3.0,2.0,192.0,90.0,[blackbeauty],[],,
9,731115972342513665,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"RT @TrayneshaCole: ""My hair is not, nor has it ever been a TREND!""✊🏾 #blm #BlackBeauty https://t.co/o0cnnyfiOd",2016-05-13 13:36,Twitter Web Client,,,,True,4859142199,7.311062535108403e+17,,,0.0,0.0,0.0,0.0,"[blm, BlackBeauty]",[],[4859142199],
10,731106253510840325,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,"""My hair is not, nor has it ever been a TREND!""✊🏾 #blm #BlackBeauty https://t.co/o0cnnyfiOd",2016-05-13 12:58,Twitter Web Client,,,,False,,,,,0.0,0.0,44.0,25.0,"[blm, BlackBeauty]",[],,
11,679686657310851073,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,It always bothered me when people would say “Natural hair doesn’t look good on me.” #blackToLive #BlackBeauty https://t.co/h5ZzHTaU64,2015-12-23 15:35,Twitter Web Client,,,,False,,,,,0.0,0.0,7.0,8.0,"[blackToLive, BlackBeauty]",[],,
12,717512300064870400,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,und,😊😊  #BlackGirlsRock #BlackBeauty https://t.co/YoACNslV2p,2016-04-06 00:40,Twitter Web Client,,,,False,,,,,0.0,0.0,33.0,33.0,"[BlackGirlsRock, BlackBeauty]",[],,
13,647805274821033984,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,#FollowMe #BlackFam #blackpeopleproblems #Blackpower #BlackPride #blackbeauty http://t.co/MMa8XKyllg,2015-09-26 16:09,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,1.0,"[FollowMe, BlackFam, blackpeopleproblems, Blackpower, BlackPride, blackbeauty]",[],,
