,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,790197087849689088,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Developing black owned business is still a major issue #BlackBusiness https://t.co/UyemvmpH69,2016-10-23 14:24,TweetDeck,,,,False,,,,,7.0,8.0,131.0,122.0,[BlackBusiness],[],,
1,838875057195712515,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,en,"She's a social entrepreneur, public speaker, philanthropist and a savvy 6th-grader from Austin, Texas #BlackBusiness https://t.co/LguLmCmwkQ",2017-03-06 22:12,Twitter Web Client,,,,False,,,,,4.0,1.0,96.0,64.0,[BlackBusiness],[],,
2,894744976537595904,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,Black entrepreneur Leo Thomas owns 5 Marco’s Pizza franchises and is planning to open 20 more! #BlackBusiness https://t.co/Y7XjwhI7Vf,2017-08-08 02:20,TweetDeck,,,,False,,,,,5.0,5.0,236.0,103.0,[BlackBusiness],[],,
3,824884906996092929,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,She is really empowering her community! Great job! #blackbusiness https://t.co/2VdYfvolgg,2017-01-27 07:41,Twitter Web Client,,,,False,,,,,3.0,2.0,228.0,157.0,[blackbusiness],[],,
4,881323486521708544,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,Sisters Chinelo Chidozie and Ndidi Obidoa have launched a new sunscreen product line specifically for Black skin. #BlackBusiness https://t.co/qK59oBihIk,2017-07-02 01:27,Twitter Web Client,,,,False,,,,,1.0,3.0,135.0,89.0,[BlackBusiness],[],,
5,883063004249698308,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,"Salon DeJuan, the 1st Black-owned mobile hair salon has opened a second location in the Washington, DC area. #blackbusiness https://t.co/UIGq8wJZpg",2017-07-06 20:40,TweetDeck,,,,False,,,,,8.0,4.0,181.0,136.0,[blackbusiness],[],,
6,889950132443246592,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,Mikaila Ulmer has just convinced ten NFL players to invest $810K in her lemonade business called Me &amp; the Bees Lemonade. #BlackBusiness https://t.co/ouUArsX3Xe,2017-07-25 20:47,TweetDeck,,,,False,,,,,8.0,2.0,326.0,173.0,[BlackBusiness],[],,
7,806191980954927104,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Inspiring #BlackBusiness https://t.co/FeFARl8GAv,2016-12-06 17:42,TweetDeck,,,,False,,,,,2.0,0.0,47.0,28.0,[BlackBusiness],[],,
8,814962020198006784,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,"Black-owned cupcake enterprise named ""Family business of the year""  #blackbusiness https://t.co/mDFXAYv68r",2016-12-30 22:31,TweetDeck,,,,False,,,,,8.0,6.0,154.0,99.0,[blackbusiness],[],,
9,783070627687124992,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Here is how many businesses are owned by black people #BlackBusiness https://t.co/NLg7YyPGOP,2016-10-03 22:26,TweetDeck,,,,False,,,,,3.0,0.0,29.0,33.0,[BlackBusiness],[],,
10,886046210313682944,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,Shaq wants to buy 100 Krispy Kreme shops after finding lots of success with one location in Atlanta. #BlackBusiness https://t.co/3eWTraUv5p,2017-07-15 02:14,TweetDeck,,,,False,,,,,1.0,5.0,109.0,36.0,[BlackBusiness],[],,
11,735627407059767296,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,But thats none of my business tho ☕ #blackbusiness https://t.co/t3GIvzpIYA,2016-05-26 00:23,Twitter Web Client,,,,False,,,,,0.0,0.0,57.0,42.0,[blackbusiness],[],,
12,881616379002015744,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,"Jemiah Battle, CEO of VK3 Innovations is raising money for a life-saving heart bracelet. #blackbusiness https://t.co/sbGzRzLAj7 https://t.co/M9SLJFpfHh",2017-07-02 20:51,Twitter Web Client,,,,False,,,,,0.0,0.0,26.0,17.0,[blackbusiness],[https://www.indiegogo.com/projects/the-life-e-bracelet-health#/],,
13,812061909759488000,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Finally a good map to follow #blackownedbusiness #blackbusiness https://t.co/0yfBuEFspN,2016-12-22 22:27,TweetDeck,,,,False,,,,,0.0,1.0,29.0,24.0,"[blackownedbusiness, blackbusiness]",[http://bit.ly/2ijlVzZ],,
