,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,716613311429632004,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,A stunning peace of art!!! #BlackGirlsRock https://t.co/kG34OHjdCg,2016-04-03 13:08,TweetDeck,,,,False,,,,,0.0,0.0,40.0,27.0,[BlackGirlsRock],[],,
1,726508683790680065,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Black Girls Vote Rises Awareness Among Young People #blackgirlsrock  https://t.co/Wod3CiBbJE https://t.co/dJU1AnKiX3,2016-04-30 20:29,TweetDeck,,,,False,,,,,0.0,0.0,5.0,2.0,[blackgirlsrock],[http://bit.ly/1Tl6jXB],,
2,716758854906687488,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,"😂😂😂😂😂😂 Surely, eat healthy and exercise.. BLACK DON'T CRACK!  #BlackGirlsRock https://t.co/kCoAP8YSRo",2016-04-03 22:46,Twitter Web Client,,,,False,,,,,0.0,2.0,33.0,18.0,[BlackGirlsRock],[],,
3,718771479949672449,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"RT @TrayneshaCole: Damn, free people, Back at It again with the native American-Inspired ""Festival"" clothes #BlackGirlsRock https://t.co/Ph…",2016-04-09 12:04,Twitter Web Client,,,,True,4859142199,7.187620691855524e+17,,,0.0,0.0,0.0,0.0,[BlackGirlsRock],[],[4859142199],
4,720750446789275648,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,und,😍😍💁💁 #BlackGirlsRock https://t.co/AsZ3oUUMdy,2016-04-14 23:07,Twitter Web Client,,,,False,,,,,0.0,0.0,25.0,31.0,[BlackGirlsRock],[],,
5,894304575158722561,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,Rihanna is giving bikes to girls in Malawi to aid them in getting to school. #BlackGirlsRock https://t.co/4xQ9P6O5XL,2017-08-06 21:10,TweetDeck,,,,False,,,,,7.0,5.0,248.0,114.0,[BlackGirlsRock],[],,
6,884493190103019522,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,Congratulations to supermodel Naomi Campbell on being named Contributing Editor of British Vogue. #BlackGirlsRock https://t.co/IVaWey8kXA,2017-07-10 19:23,Twitter Web Client,,,,False,,,,,3.0,1.0,150.0,76.0,[BlackGirlsRock],[],,
7,726091853502668800,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"RT @TrayneshaCole: #ILoveThe90sTODAY? Every damn day is the 90s, in my world!   #BlackGirlsRock https://t.co/n4cyBpzsSv",2016-04-29 16:52,Twitter Web Client,,,,True,4859142199,7.260663347279626e+17,,,0.0,0.0,0.0,0.0,"[ILoveThe90sTODAY, BlackGirlsRock]",[],[4859142199],
8,896134520008695808,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,"At age 26, Ashley Derby became one of the youngest franchise owners in Chic-fil-A history. #BlackGirlsRock https://t.co/51VulHRHxt",2017-08-11 22:21,Twitter Web Client,,,,False,,,,,18.0,6.0,450.0,261.0,[BlackGirlsRock],[],,
9,719169473752633345,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,Braids will always be a powerful symbol of black girl culture RT for this. #BlackGirlsRock,2016-04-10 14:25,Twitter Web Client,,,,False,,,,,0.0,1.0,6.0,6.0,[BlackGirlsRock],[],,
