,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,694703813920460802,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,We should not be afraid to talk about racism. #BlackMatters #BlackHistoryMonth  https://t.co/cLzU0xG4Yw https://t.co/s7v01J9WZ6,2016-02-03 02:07,TweetDeck,,,,False,,,,,0.0,2.0,44.0,63.0,"[BlackMatters, BlackHistoryMonth]",[http://on.fb.me/1QFI0EF],,
1,695350892686499840,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Slaves had been prohibited from being educated #BlackLivesMatter #BlackMatters #BlackHistoryMonth https://t.co/QOp1c6ZKf6,2016-02-04 20:59,TweetDeck,,,,False,,,,,0.0,0.0,13.0,23.0,"[BlackLivesMatter, BlackMatters, BlackHistoryMonth]",[],,
2,699945256712867841,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @gloed_up: Cops are shit all around the world and they should all die.White supremacy's global.end of story. #BlackHistoryMonth https://…,2016-02-17 13:15,Twitter Web Client,,,,True,3312143142,6.9994490575027e+17,,,0.0,0.0,0.0,0.0,[BlackHistoryMonth],[],[3312143142],
3,836705037573316610,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,en,"February 28 1990: The Coasters lead singer and Rock &amp; Roll Hall of Famer Cornell Gunter was fatally shot in Las Vegas, NV #BlackHistoryMonth https://t.co/psjqixaheg",2017-02-28 22:30,TweetDeck,,,,False,,,,,0.0,0.0,17.0,18.0,[BlackHistoryMonth],[],,
4,835228308296052737,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,en,5-year-old Kent girl re-creates iconic photos of notable black women for #BlackHistoryMonth   Dr. Mae Jemison https://t.co/6kze9uSxzy,2017-02-24 20:42,TweetDeck,,,,False,,,,,2.0,1.0,238.0,174.0,[BlackHistoryMonth],[],,
5,704209384214282240,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Welcome to the New Jim Crow #JusticeForFlint #BlackTwitter #BlackHistoryMonth https://t.co/snYsQvLUob,2016-02-29 07:39,Twitter Web Client,,,,False,,,,,0.0,0.0,13.0,13.0,"[JusticeForFlint, BlackTwitter, BlackHistoryMonth]",[],,
6,826954286726721537,4217244274,Yahaya Thinbu,Blk_Voice,"Mohnton, PA",Activist. Feminist. Celebrating and highlighting Black excellence.,https://t.co/4xjFyHX444,11766,6966,2015-11-18,en,en,50 iconic Black trailblazers who represent every state in America #BlackHistoryMonth   Minnesota: Toni Stone https://t.co/dpcAsGF7Tv,2017-02-02 00:44,TweetDeck,,,,False,,,,,0.0,1.0,39.0,33.0,[BlackHistoryMonth],[],,
7,700406579791790081,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,#BlackHistoryMonth https://t.co/MHE8GemuQz,2016-02-18 19:48,Twitter Web Client,,,,False,,,,,0.0,0.0,6.0,8.0,[BlackHistoryMonth],[],,
8,703590688483614722,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,5 ways to celebrate black cinema on Oscar night #blacktolive #BlackHistoryMonth https://t.co/bvFc3YSTNk,2016-02-27 14:41,Twitter Web Client,,,,False,,,,,0.0,0.0,5.0,5.0,"[blacktolive, BlackHistoryMonth]",[],,
9,703485703833919488,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Can we get a movie or something with these two?I would love to see them act together.#blacktolive #BlackHistoryMonth https://t.co/a5mP34FsIE,2016-02-27 07:43,Twitter Web Client,,,,False,,,,,0.0,0.0,16.0,20.0,"[blacktolive, BlackHistoryMonth]",[],,
10,831951218981367809,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,en,The Black Panther party created a free food program for black people. #BlackHistoryMonth https://t.co/I2QQ0k4Nn1,2017-02-15 19:40,TweetDeck,,,,False,,,,,19.0,11.0,673.0,574.0,[BlackHistoryMonth],[],,
