,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,720506044561154049,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,Happy black out ppl!!! #Blackout https://t.co/W7Snmqp3Nl,2016-04-14 06:56,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,1.0,[Blackout],[],,
1,772685389169655808,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,Project Chocolate Men #Blackout https://t.co/nDicP6QT9R,2016-09-05 06:38,Twitter Web Client,,,,False,,,,,2.0,0.0,72.0,44.0,[Blackout],[],,
2,725679303778693120,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,The Future of #Blackout https://t.co/p428Jes9ha,2016-04-28 13:33,Twitter Web Client,,,,False,,,,,0.0,0.0,24.0,18.0,[Blackout],[],,
3,706095454593933312,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT this post if you are accepting submissions during #Blackout or if you are allowing people to tag you for a boost. https://t.co/2tWFYVwQVI,2016-03-05 12:34,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,2.0,[Blackout],[],,
4,725680370797056000,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @gloed_up: The Future of #Blackout https://t.co/p428Jes9ha,2016-04-28 13:37,Twitter Web Client,,,,True,3312143142,7.256793037786931e+17,,,0.0,0.0,0.0,0.0,[Blackout],[],[3312143142],
5,779417786611359745,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,got to share the news because they never do ✊🏿  #BlackOut https://t.co/25cH5yypt8,2016-09-23 20:30,Twitter Web Client,,,,False,,,,,2.0,1.0,121.0,131.0,[BlackOut],[],,
6,772703149983424512,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @TrayneshaCole: Project Chocolate Men #Blackout https://t.co/nDicP6QT9R,2016-09-05 07:49,Twitter Web Client,,,,True,4859142199,7.726853891696558e+17,,,0.0,0.0,0.0,0.0,[Blackout],[],[4859142199],
7,707608913441464320,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Vanessa VanDyke was threatened with expulsion from school for her hairstyle #BlackPride #Blackout https://t.co/o4X3iN1Vqx,2016-03-09 16:48,TweetDeck,,,,False,,,,,0.0,0.0,11.0,18.0,"[BlackPride, Blackout]",[],,
8,747053099450306560,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Are the those who say that #TrumpGirlsBreakTheInternet are ugly and those who post #blackout selfies are the same people?,2016-06-26 13:05,Twitter Web Client,,,,False,,,,,0.0,1.0,61.0,24.0,"[TrumpGirlsBreakTheInternet, blackout]",[],,
9,726442656465723393,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,und,#BlackLove #BlackOut https://t.co/2CnlTxjXAM,2016-04-30 16:06,TweetDeck,,,,False,,,,,0.0,0.0,11.0,1.0,"[BlackLove, BlackOut]",[],,
