,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,783827565261709312,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,Great sign! #BLM https://t.co/1tdqEjZizT,2016-10-06 00:33,Twitter Web Client,,,,False,,,,,0.0,1.0,103.0,90.0,[BLM],[],,
1,714841331512827906,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @gloed_up: Please do not forget the mothers who have been killed by police too. WE WILL NEVER FORGET! MAKE IT VIRAL!!! #blm https://t.co…,2016-03-29 15:47,Twitter Web Client,,,,True,3312143142,7.147891022442086e+17,,,0.0,0.0,0.0,0.0,[blm],[],[3312143142],
2,725732031296991232,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @gloed_up: She’s a professor at smbd' school. THIS NEEDS HEARD #BLMAStorytellers #blm https://t.co/K2rd37rW09,2016-04-28 17:02,Twitter Web Client,,,,True,3312143142,7.257282539446723e+17,,,0.0,0.0,0.0,0.0,"[BLMAStorytellers, blm]",[],[3312143142],
3,659250219696066560,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,People need to free their minds of prejudices. #blackpeopletwitter #BlackTwitter #BlackLivesMatter #BlackPower #BLM https://t.co/EMrzLjmxV5,2015-10-28 06:07,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[blackpeopletwitter, BlackTwitter, BlackLivesMatter, BlackPower, BLM]",[],,
4,704708326005874690,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,"RT @gloed_up: This's Tania Harris.She's 18y.o. Tania Harris was shot twice by police in Robbinsdale, MN yesterday #SayHerName #blm https://…",2016-03-01 16:42,Twitter Web Client,,,,True,3312143142,7.046427597271777e+17,,,0.0,0.0,0.0,0.0,"[SayHerName, blm]",[],[3312143142],
5,694241314326614017,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Racist Fox News will always be racists. It's 2016 and we should accept that!? #BlackMatters #BLM https://t.co/b4EuP4fgeS,2016-02-01 19:30,TweetDeck,,,,False,,,,,0.0,4.0,33.0,56.0,"[BlackMatters, BLM]",[],,
6,727879660307136513,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @gloed_up: Black artists create powerful T-shirts to remember the women lost to violence  #blm https://t.co/KERNuwq5oK,2016-05-04 15:16,Twitter Web Client,,,,True,3312143142,7.278598005376369e+17,,,0.0,0.0,0.0,0.0,[blm],[],[3312143142],
7,759000480743763968,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,All you need to know about #BLM: the only time they condemned the actions of their members was when they had a peaceful picnic with police,2016-07-29 12:19,Twitter Web Client,,,,False,,,,,4.0,4.0,93.0,58.0,[BLM],[],,
8,689954866622545920,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,LA leaders to present a plan for putting thousands of body cameras on police officers. No changes to occur #BLM https://t.co/2tQs2zIzNR,2016-01-20 23:37,TweetDeck,,,,False,,,,,0.0,0.0,4.0,9.0,[BLM],[],,
9,719210994472333314,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @gloed_up: Why there's no media coverage??? Doesn't he desrve this??? #BLM https://t.co/tjHnHSMDlI,2016-04-10 17:10,Twitter Web Client,,,,True,3312143142,7.19198079526699e+17,,,0.0,0.0,0.0,0.0,[BLM],[],[3312143142],
10,642478846650920961,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,@NICKIMINAJ #BLM,2015-09-11 23:24,Twitter Web Client,6.424787533486326e+17,35787166,,False,,,,,0.0,0.0,0.0,0.0,[BLM],[],[35787166],
11,727534110302953472,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @TrayneshaCole: I was just about to say ^^^lmfao play with Black parents like that if you want to. Wake up to window guards. #blm https:…,2016-05-03 16:23,Twitter Web Client,,,,True,4859142199,7.275042320861184e+17,,,0.0,0.0,0.0,0.0,[blm],[],[4859142199],
12,722071996444516356,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Brilliant comments about racism. #Blm https://t.co/NeTkdPPDkK,2016-04-18 14:39,Twitter Web Client,,,,False,,,,,0.0,0.0,16.0,19.0,[Blm],[],,
13,681506194549288960,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"Dipped in chocolate, bronzed in elegance,enameled with grace, toasted with beauty. My lord, she’s a black woman #Blm https://t.co/3P9sh9uhgG",2015-12-28 16:05,Twitter Web Client,,,,False,,,,,0.0,1.0,16.0,18.0,[Blm],[],,
14,675675076331614208,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,.@AFRICAisMankind united we stand. #BLM,2015-12-12 13:54,Twitter Web Client,6.756737609601311e+17,719968179,,False,,,,,0.0,0.0,3.0,3.0,[BLM],[],[719968179],
15,726099045484130304,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,i fucking hate piers morgan. what a fucking shit hole.Another damn racist.  #RacismKills #BlackGirlExcellence #blm https://t.co/rrpXGm1Qr6,2016-04-29 17:21,Twitter Web Client,,,,False,,,,,0.0,0.0,13.0,10.0,"[RacismKills, BlackGirlExcellence, blm]",[],,
