,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,854671504025554944,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,"ICE arrested 21,362 illegal aliens from Jan 20 to Mar 13, 5,258 more than the same period in 2016 #BuildTheWall https://t.co/uw14uqTaFo",2017-04-19 12:22,Twitter Web Client,,,,False,,,,,8.0,22.0,213.0,112.0,[BuildTheWall],[],,
1,801478173695377408,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,"They live no a welfare our country provided them, they don't have a job and that's why they're always protesting  #BuildTheWall https://t.co/CiHcMVQBAe",2016-11-23 17:31,Twitter Web Client,,,,False,,,,,3.0,4.0,43.0,42.0,[BuildTheWall],[],,
2,890698481383251968,4332740714,Gunslinger Girl,USA_Gunslinger,"Wisconsin, USA","Truth is strong, and sometime or other will prevail!",,44895,45382,2015-11-23,en,en,The U.S.-Mexico Wall is finally coming! House passes $788 billion bill that includes down payment on U.S.-Mexico border wall! #BuildTheWall,2017-07-27 22:20,Twitter Web Client,,,,False,,,,,7.0,32.0,291.0,136.0,[BuildTheWall],[],,
3,866734048617652224,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,"President Trump: ""Walls work. Just ask Israel.""  #BuildTheWall https://t.co/EcK75hIIDI",2017-05-22 19:14,Twitter Web Client,,,,False,,,,,2.0,7.0,127.0,78.0,[BuildTheWall],[],,
4,854777294975627265,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,"RT @FAIRImmigration: We must #BuildTheWall to reduce illegal immigration, drug trafficking and human smuggling. RT if you agree! https://t.…",2017-04-19 19:22,Twitter Web Client,,,,True,18956212,8.544361151467192e+17,,,0.0,0.0,0.0,0.0,[BuildTheWall],[],[18956212],
5,824616618177224705,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,@realDonaldTrump they will pay for the wall #BuildTheWall,2017-01-26 13:54,TweetDeck,8.246158203913052e+17,25073877,,False,,,,,0.0,0.0,16.0,6.0,[BuildTheWall],[],[25073877],
6,857011265184514048,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,".@TuckerCarlson: ""The main problem with the border wall is that it works, and that's what its opponents fear."" #BuildTheWall https://t.co/ip92fOZ0VV",2017-04-25 23:19,Twitter Web Client,,,,False,,,,,6.0,11.0,320.0,281.0,[BuildTheWall],[],[22703645],
7,858471857325920258,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,"""Build the wall! Build the wall!"" chant at President Trump's rally in #Harrisburg #BuildTheWall https://t.co/GZGM2Hnlu3",2017-04-30 00:03,Twitter Web Client,,,,False,,,,,6.0,8.0,309.0,210.0,"[Harrisburg, BuildTheWall]",[],,
8,886057733451005956,4332740714,Gunslinger Girl,USA_Gunslinger,"Wisconsin, USA","Truth is strong, and sometime or other will prevail!",,44895,45382,2015-11-23,en,en,"It's high time our government put us, the good people of the United States first. That's why I support @POTUS #MAGA #BuildTheWall https://t.co/UV1s7d74nL",2017-07-15 03:00,TweetDeck,,,,False,,,,,14.0,14.0,135.0,72.0,"[MAGA, BuildTheWall]",[],[822215679726100480],
9,826143512773140480,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,How about giving money to veterans instead of refugees? #BuildTheWall https://t.co/uzrRfy6PP3,2017-01-30 19:02,Twitter Web Client,,,8.261431660174008e+17,False,,,,,4.0,12.0,86.0,49.0,[BuildTheWall],[https://twitter.com/MonaeMubarak/status/826143166017400832],,
