,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,791749963705298944,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,"RT @gloed_up: Pusha T and Tim Kaine sit down to talk #policebrutality, systematic #racism and #education https://t.co/m64NzXlRfm",2016-10-27 21:14,Twitter Web Client,,,,True,3312143142,7.917481404456018e+17,,,0.0,0.0,0.0,0.0,"[policebrutality, racism, education]",[],[3312143142],
1,687429610636709888,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Won't it? #BlackToLive #BlackTwitter #BlackLivesMatter #Education https://t.co/WCjhenj138,2016-01-14 00:22,Twitter Web Client,,,,False,,,,,0.0,0.0,16.0,14.0,"[BlackToLive, BlackTwitter, BlackLivesMatter, Education]",[],,
2,824891245562454017,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,RT @BlackToLive: Today in Trump's America: this teenager is teaching the new #education secretary a powerful lesson ✊🏿 https://t.co/cf1V9LX…,2017-01-27 08:06,Twitter Web Client,,,,True,4840551713,8.245873521987461e+17,,,0.0,0.0,0.0,0.0,[education],[],[4840551713],
3,713087228784803840,4208754922,People For Justice!,MissouriNewsUS,,#NeverHillary,,5401,5939,2015-11-17,en,en,Koch Brothers' Plot To Privatize #Education Has Already Stolen $3.7 Billion From Taxpayers https://t.co/E6Z9aqoE9Y https://t.co/x16RtnZO3S,2016-03-24 19:36,Twitter Web Client,,,,False,,,,,0.0,0.0,8.0,19.0,[Education],[http://occupydemocrats.com/2015/10/22/koch-brothers-plot-to-privatize-education-has-already-stolen-3-7-billion-from-taxpayers/],,
4,650860491263184896,2743327187,Washington Online,WashingtOnline,"Washington, D.C.","Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements",,40762,14404,2014-08-15,en,en,"Here is what we know about #JohnKing, the next secretary of #education http://t.co/SnRMGMUIMJ http://t.co/JVyEx65cmb",2015-10-05 02:30,TweetDeck,,,,False,,,,,0.0,1.0,1.0,2.0,"[JohnKing, education]",[http://www.huffingtonpost.com/entry/john-king-education-secretary_560ea564e4b0dd85030baf66?utm_hp_ref=black-voices&ir=Black%2BVoices&section=black-voices],,
5,740906409240498177,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,"Do you think Black students are welcome at schools?  RT, check: https://t.co/LP7w87QNit #Education https://t.co/oiz0wYrGYS",2016-06-09 14:00,Twitter Web Client,,,,False,,,,,0.0,0.0,23.0,19.0,[Education],[http://bit.ly/1TXA3uv],,
6,697466565843820545,2753338899,San Antonio Top News,SanAntoTopNews,"City of San Antonio, TX","San Antonio top news and stories, powered 24/7",,25528,7904,2014-08-28,en,en,Alamo Colleges lobbying for bachelor’s degrees #education  https://t.co/415jQObjGG https://t.co/HOujMxf98N,2016-02-10 17:06,TweetDeck,,,,False,,,,,0.0,0.0,3.0,4.0,[education],[http://bit.ly/20KTU8E],,
7,707635078851985408,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,#Education is one of the most important things in our lives https://t.co/47xf2Vjdv4,2016-03-09 18:32,TweetDeck,,,,False,,,,,0.0,0.0,12.0,5.0,[Education],[],,
8,619211434983972864,2944766250,Atlanta Online,Atlanta_Online,"Atlanta, GA","Breaking news, weather, traffic and more for Atlanta and Georgia. DM us anytime. RTs not endorsements",,20345,13575,2014-12-27,en,en,GaDOE releases list of schools with greatest needs #education http://t.co/ahpTrw0kKq,2015-07-09 18:28,TweetDeck,,,,False,,,,,0.0,1.0,1.0,1.0,[education],[],,
9,791750750850260992,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,"RT @gloed_up: Pusha T and Tim Kaine sit down to talk #policebrutality, systematic #racism and #education https://t.co/m64NzXlRfm",2016-10-27 21:17,Twitter Web Client,,,,True,3312143142,7.917481404456018e+17,,,0.0,0.0,0.0,0.0,"[policebrutality, racism, education]",[],[3312143142],
10,816275681495511040,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Black Kids Were Forced to Write an Essay Defending Ku Klux Klan #education https://t.co/igHGLCBFi0,2017-01-03 13:31,TweetDeck,,,,False,,,,,25.0,10.0,56.0,71.0,[education],[http://bit.ly/2j0jhn4],,
11,859747117455204353,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,"No one asked her for prom, so she took her Harvard invitation instead. #education is power 💪🏿💪🏿💪🏿 https://t.co/U4k46XFcvo",2017-05-03 12:31,TweetDeck,,,,False,,,,,1.0,1.0,142.0,62.0,[education],[],,
12,859757692633665536,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,"RT @BlackToLive: No one asked her for prom, so she took her Harvard invitation instead. #education is power 💪🏿💪🏿💪🏿 https://t.co/U4k46XFcvo",2017-05-03 13:13,Twitter Web Client,,,,True,4840551713,8.597471174552044e+17,,,0.0,0.0,0.0,0.0,[education],[],[4840551713],
13,740172816964784128,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Two Police Academies Suspended For Teaching Violence https://t.co/zj8z5pEusy #policebrutality #education https://t.co/cpu7Gy1N6q,2016-06-07 13:25,Twitter Web Client,,,,False,,,,,0.0,0.0,15.0,33.0,"[policebrutality, education]",[http://bit.ly/1TXqX6n],,
14,699997503425392640,2753338899,San Antonio Top News,SanAntoTopNews,"City of San Antonio, TX","San Antonio top news and stories, powered 24/7",,25528,7904,2014-08-28,en,en,'We dropped the ball': State admits errors in reporting teacher discipline #education   https://t.co/vUNI1BfYR2 https://t.co/vKx6kssOyj,2016-02-17 16:43,TweetDeck,,,,False,,,,,0.0,0.0,1.0,0.0,[education],[http://bit.ly/1QkVkBF],,
15,889465942769410048,2951539528,National Politics,NatPolNews,,A typical vice of American politics is the avoidance of saying anything real on real issues,,12618,5184,2014-12-30,en,en,Elizabeth Warren co-authored a book in 2003 that advocated for a school voucher system. Now she claims it's racist and attacks #Education https://t.co/MJFDJuYPAm,2017-07-24 12:43,TweetDeck,,,,False,,,,,2.0,3.0,15.0,16.0,[Education],[],,
16,737576806006460418,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Survey On America’s Most Hateful Colleges Goes Wrong https://t.co/Eq18aGjuMK @NYDNBenChapman #education https://t.co/gXjrDccVVF,2016-05-31 09:29,Twitter Web Client,,,,False,,,,,0.0,0.0,4.0,6.0,[education],[http://bit.ly/1sIjHyR],[16310349],
