,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,703355002497191936,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,Not in Texas. And not in Dixie. Really. #southunited #illegals #immigration #elections2016 https://t.co/NaoHJ72kRK,2016-02-26 23:04,Twitter Web Client,,,,False,,,,,0.0,2.0,5.0,7.0,"[southunited, illegals, immigration, elections2016]",[],,
1,790212186585100289,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Stepen King is a savage #elections2016 https://t.co/MnaFiJJM5q,2016-10-23 15:24,TweetDeck,,,,False,,,,,7.0,20.0,30.0,28.0,[elections2016],[],,
2,790228542709723138,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Any #GameofThrones fans here? #elections2016 https://t.co/gpiTHkorPE,2016-10-23 16:29,TweetDeck,,,,False,,,,,1.0,4.0,42.0,22.0,"[GameofThrones, elections2016]",[],,
3,709921218045022210,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Trump wins North Carolina's Republican primary #Elections2016 https://t.co/3boJQXl8qz,2016-03-16 01:56,Twitter Web Client,,,,False,,,,,0.0,0.0,14.0,12.0,[Elections2016],[],,
4,807949305969577985,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,und,RT @MetalFloss: #walterscott @blicqer @BlackToLive @blackmattersus @TheRoot #SouthCarolina #BlackMirror #Police #shooting #Elections2016 #T…,2016-12-11 14:05,Buffer,,,,True,2780963558,8.079310146685174e+17,,,0.0,0.0,0.0,0.0,"[walterscott, SouthCarolina, BlackMirror, Police, shooting, Elections2016]",[],"[4840551713, 3034626213, 3978316814, 23995748, 2780963558]",
5,707011584472719365,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Michael Bloomberg will not enter presidential race #Elections2016 https://t.co/gybm43vaUR,2016-03-08 01:14,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,1.0,[Elections2016],[],,
6,709909394939584513,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Kasich takes Ohio #Elections2016 https://t.co/yTWY5UwOgc,2016-03-16 01:09,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,2.0,[Elections2016],[],,
7,694541044667457538,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,#GroundhogDay: we trust a groundhog predicting weather. What about trying the same thing with #Elections2016? 🤔 https://t.co/kmKOjfiJQt,2016-02-02 15:21,TweetDeck,,,,False,,,,,0.0,4.0,26.0,11.0,"[GroundhogDay, Elections2016]",[],,
8,712426911184519172,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,What would be the results after #Elections2016 I wonder? https://t.co/nDKW0sSTYc,2016-03-22 23:53,TweetDeck,,,,False,,,,,0.0,3.0,11.0,7.0,[Elections2016],[],,
9,728179421216149504,1650681522,Messiah Haynes,IlikeBIGbuttand,United States,The only true wisdom is in knowing you know nothing!,,5172,2833,2013-08-06,en,en,RT @mr_msb13: Just saying ... #Elections2016 https://t.co/y5KOB39upW,2016-05-05 11:07,Twitter Web Client,,,,True,2270207887,7.281289674802053e+17,,,0.0,0.0,0.0,0.0,[Elections2016],[],[2270207887],
10,698915388558422016,2753146444,Cleveland Online,OnlineCleveland,"City of Cleveland, USA","Breaking news, weather, traffic and more for Cleveland. DM us anytime. RTs not endorsements",,19351,8207,2014-08-28,en,en,McConnell: Don't replace #Scalia until after presidential election #elections2016 https://t.co/vvmTsoRTJf https://t.co/47LhNjkilD,2016-02-14 17:03,TweetDeck,,,,False,,,,,0.0,0.0,1.0,0.0,"[Scalia, elections2016]",[http://thehill.com/homenews/senate/269389-mcconnell-dont-replace-scalia-until-after-election],,
11,709909593825087488,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Rubio quits after Trump wins Florida by landslide #Elections2016 https://t.co/yYTlnRxACL,2016-03-16 01:10,Twitter Web Client,,,,False,,,,,0.0,1.0,9.0,6.0,[Elections2016],[],,
12,796258210659307520,735790317048344576,Брови Брежнева,bydrbre_,,секси-генсекси.  #бровибрежнева снова в деле. Вконтакте - https://t.co/Fqg6qL3HTf. Телеграм - https://t.co/5CxvApXq2A,,20776,6376,2016-05-26,ru,uk,ОФИЦИАЛЬНО! Дональд Трамп - президент США! #Elections2016 https://t.co/VFI1faQser,2016-11-09 07:48,Twitter Web Client,,,,False,,,,,1.0,0.0,43.0,26.0,[Elections2016],[],,
13,793095686875217920,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Vote like you understand that someone died for your right to do so #voting #Elections2016 https://t.co/QOLdTv8POR,2016-10-31 14:22,TweetDeck,,,,False,,,,,17.0,9.0,187.0,194.0,"[voting, Elections2016]",[],,
