,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,730866723755171840,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @gloed_up: #SouthCarolina barber “doesn't cut black hair” pulls gun on customer who asked why. #BlackLivesMatter #BLM #equality https://…,2016-05-12 21:06,Twitter Web Client,,,,True,3312143142,7.308665005596426e+17,,,0.0,0.0,0.0,0.0,"[SouthCarolina, BlackLivesMatter, BLM, equality]",[],[3312143142],
1,694525455366402049,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,The only right definition of #equality https://t.co/uVcmz9MP7A,2016-02-02 14:19,TweetDeck,,,,False,,,,,0.0,1.0,46.0,52.0,[equality],[],,
2,789260485724110848,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @TrayneshaCole: America is built on systematic oppression and  inequality of people of colour #BlackLivesMatter #Equality https://t.co/h…,2016-10-21 00:22,Twitter Web Client,,,,True,4859142199,7.892571848824177e+17,,,0.0,0.0,0.0,0.0,"[BlackLivesMatter, Equality]",[],[4859142199],
3,887554095002787840,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,und,#blacklivesmatter #bluelivesmatter #equality https://t.co/HayBvFGPFF,2017-07-19 06:06,TweetDeck,,,,False,,,,,4.0,4.0,138.0,96.0,"[blacklivesmatter, bluelivesmatter, equality]",[],,
4,728357727446126596,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"RT @TrayneshaCole: Not all Airbnb users are treated equally, it seems.  #AirbnbWhileBlack #equality https://t.co/L4toUrG5ki",2016-05-05 22:56,Twitter Web Client,,,,True,4859142199,7.283571965101793e+17,,,0.0,0.0,0.0,0.0,"[AirbnbWhileBlack, equality]",[],[4859142199],
5,727940289923579905,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @TrayneshaCole: #Beyonce speaks out against North Carolina’s anti-trans law  #equality https://t.co/31Wm32twX2,2016-05-04 19:17,Twitter Web Client,,,,True,4859142199,7.27934607346303e+17,,,0.0,0.0,0.0,0.0,"[Beyonce, equality]",[],[4859142199],
6,789257184882417664,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,America is built on systematic oppression and  inequality of people of colour #BlackLivesMatter #Equality https://t.co/hPOaQ55whw,2016-10-21 00:09,Twitter Web Client,,,,False,,,,,3.0,7.0,99.0,123.0,"[BlackLivesMatter, Equality]",[],,
7,742855926256930816,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,"#Terrorism carried out by White American against other Americans, what's the difference from IsIs and this #Equality https://t.co/eyXbQy4ZrE",2016-06-14 23:07,Twitter Web Client,,,,False,,,,,0.0,10.0,185.0,221.0,"[Terrorism, Equality]",[],,
8,719653509952446465,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,A whole bunch of celebrities reveal why they’re feeling the Bern. #FeelTheBern #equality https://t.co/cOhep9jULu,2016-04-11 22:29,Twitter Web Client,,,,False,,,,,0.0,1.0,70.0,76.0,"[FeelTheBern, equality]",[],,
9,674725271270916096,2753338899,San Antonio Top News,SanAntoTopNews,"City of San Antonio, TX","San Antonio top news and stories, powered 24/7",,25528,7904,2014-08-28,en,en,#Gay rights movement pushes for #equality https://t.co/tQDDF8rDri https://t.co/moDxNe14TA,2015-12-09 23:00,TweetDeck,,,,False,,,,,0.0,0.0,1.0,0.0,"[Gay, equality]",[http://www.foxsanantonio.com/news/features/top-stories/stories/watch-now-equality-america-roundtable-18122.shtml#.VmhjdUqLSUk],,
10,865977923798487042,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Stop objectifying men! #Equality https://t.co/sP2KgLtzdX,2017-05-20 17:10,TweetDeck,,,,False,,,,,1.0,5.0,61.0,22.0,[Equality],[],,
11,733758281030766592,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"RT @TrayneshaCole: “When hate overtakes our debates, it’s children who suffer the most.” #racismisaliveandwell #equality https://t.co/lBHBa…",2016-05-20 20:36,Twitter Web Client,,,,True,4859142199,7.337577595025818e+17,,,0.0,0.0,0.0,0.0,"[racismisaliveandwell, equality]",[],[4859142199],
12,728357196510179329,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,"Not all Airbnb users are treated equally, it seems.  #AirbnbWhileBlack #equality https://t.co/L4toUrG5ki",2016-05-05 22:54,Twitter Web Client,,,,False,,,,,0.0,1.0,23.0,32.0,"[AirbnbWhileBlack, equality]",[],,
