,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,537613779953913857,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,i never shot nobody #faith,2014-11-26 14:28,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
1,530326885759483904,2569229674,Lora Green,LoraGreeen,New - York,Be the change that you wish to see in the world,,7446,7377,2014-05-28,en,en,she ain't exactly pretty #faith,2014-11-06 11:52,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
2,540149770225221632,2616344667,Amy Green,AmandaVGreen,United States,You have to go through the worst to arrive at your best,,7067,5350,2014-06-17,en,en,or make a social call #faith,2014-12-03 14:25,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
3,538621030537764864,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,you ain't got a hold on me #faith,2014-11-29 09:10,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
4,504707680871927809,2256210373,Викулова Татьяна,sinigopajuby,Москва,,,16220,1510,2013-12-21,en,en,RT @58ca43487b5d426f399174928f9e0d7eaf4866a61398d28b325a776a6b54a82b: i never shot nobody #faith,2014-08-27 19:11,newtwittersky,,,,True,58ca43487b5d426f399174928f9e0d7eaf4866a61398d28b325a776a6b54a82b,5.047034086377554e+17,,,0.0,0.0,0.0,0.0,[faith],,[58ca43487b5d426f399174928f9e0d7eaf4866a61398d28b325a776a6b54a82b],
5,538617842308886528,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,gone shooting #faith,2014-11-29 08:57,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
6,540160647850258434,2616344667,Amy Green,AmandaVGreen,United States,You have to go through the worst to arrive at your best,,7067,5350,2014-06-17,en,en,and you don't feel the steel #faith,2014-12-03 15:08,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
7,538609677123059714,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,"gone shooting, she's gone gone gone gone she's gone #faith",2014-11-29 08:25,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
8,538616547984433152,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,why don't you let me be #faith,2014-11-29 08:52,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
9,741065621144641536,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,#US #Muslims Draw Inspiration From Ali’s Fight For His #Faith  https://t.co/jFPtwVaIUv https://t.co/yZcZyWQoRs,2016-06-10 00:33,TweetDeck,,,,False,,,,,0.0,1.0,10.0,9.0,"[US, Muslims, Faith]",[http://bit.ly/1PAKtnk],,
10,538345478971068417,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,you ain't got a hold on me #faith,2014-11-28 14:55,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
11,540131670889070592,2616344667,Amy Green,AmandaVGreen,United States,You have to go through the worst to arrive at your best,,7067,5350,2014-06-17,en,en,and i don't like you #faith,2014-12-03 13:13,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
12,540128273867341824,2616344667,Amy Green,AmandaVGreen,United States,You have to go through the worst to arrive at your best,,7067,5350,2014-06-17,en,en,you come along and you pulled me through #faith,2014-12-03 12:59,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
13,540136837038088192,2616344667,Amy Green,AmandaVGreen,United States,You have to go through the worst to arrive at your best,,7067,5350,2014-06-17,en,en,no man's land #faith,2014-12-03 13:33,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
14,740538523342753792,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,#US #Muslims Draw Inspiration From Ali’s Fight For His #Faith  https://t.co/jFPtwUT82X https://t.co/yZcZyWQoRs,2016-06-08 13:38,TweetDeck,,,,False,,,,,0.0,0.0,5.0,4.0,"[US, Muslims, Faith]",[http://bit.ly/1PAKtnk],,
15,540152942804738048,2616344667,Amy Green,AmandaVGreen,United States,You have to go through the worst to arrive at your best,,7067,5350,2014-06-17,en,en,you ain't got a hold on me #faith,2014-12-03 14:37,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[faith],,,
16,504681509551636480,471868887,Маргарита Саваж,MargoSavazh,"Санкт-Петербург, Россия",Честь имею. Нагло врать не умею.,,30035,8773,2012-01-23,ru,en,RT @fea1c9964041fbbd67f08dbf0d7b9c2a3e855441529b7d83155395b78b0c5514: dog eat dog #faith,2014-08-27 17:27,newtwittersky,,,,True,fea1c9964041fbbd67f08dbf0d7b9c2a3e855441529b7d83155395b78b0c5514,5.0468075369610035e+17,,,0.0,0.0,0.0,0.0,[faith],,[fea1c9964041fbbd67f08dbf0d7b9c2a3e855441529b7d83155395b78b0c5514],
17,548045261826580480,2882013788,Giselle Evans,GiselleEvns,"Pittsburgh, US","if you don't work hard to achieve your dreams, you'll never achieve them",,28107,13442,2014-10-29,en,en,#Faith isn’t always a comfort.,2014-12-25 09:19,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,0.0,[Faith],,,
18,538265445447794688,2496599688,Rita Hart,NotRitaHart,Atlanta,Lost in the moment,,5373,3905,2014-05-15,en,en,like a body needs blood #faith,2014-11-28 09:37,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,0.0,[faith],,,
19,504099929124769792,2256210373,Викулова Татьяна,sinigopajuby,Москва,,,16220,1510,2013-12-21,en,en,RT @8db3fc6a4b17f997a9d562967bea76b7417c759475254b75c898faa9e4899eb8: dog eat dog #faith,2014-08-26 02:56,newtwittersky,,,,True,8db3fc6a4b17f997a9d562967bea76b7417c759475254b75c898faa9e4899eb8,5.040931355015496e+17,,,0.0,0.0,0.0,0.0,[faith],,[8db3fc6a4b17f997a9d562967bea76b7417c759475254b75c898faa9e4899eb8],
20,505933755996196864,2256210373,Викулова Татьяна,sinigopajuby,Москва,,,16220,1510,2013-12-21,en,en,RT @6ad81d2b9011fd17c3a406866a53e6dffed3126323ba386665fb674328c01269: goin' down #faith,2014-08-31 04:23,newtwittersky,,,,True,6ad81d2b9011fd17c3a406866a53e6dffed3126323ba386665fb674328c01269,5.059332662315213e+17,,,0.0,0.0,0.0,0.0,[faith],,[6ad81d2b9011fd17c3a406866a53e6dffed3126323ba386665fb674328c01269],
21,739879725481369600,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,#US #Muslims Draw Inspiration From Ali’s Fight For His #Faith  https://t.co/jFPtwVaIUv https://t.co/yZcZyWQoRs,2016-06-06 18:00,TweetDeck,,,,False,,,,,0.0,0.0,8.0,1.0,"[US, Muslims, Faith]",[http://bit.ly/1PAKtnk],,
22,632897290206732288,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,When there'e something wrong with you #faith http://t.co/nmojVIGCcI,2015-08-16 12:50,TweetDeck,,,,False,,,,,0.0,1.0,3.0,0.0,[faith],[],,
23,591757574946488320,2943515140,Screamy Monkey,ScreamyMonkey,,First frontier.News aggreagtor.,,13358,13851,2014-12-27,en,en,#Faith turns Christians into terrorist targets. Recent attacks renew fears for Christians http://t.co/e7u6hjWOrq,2015-04-25 00:16,TweetDeck,,,,False,,,,,0.0,0.0,0.0,1.0,[Faith],[],,
