,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,726231216618393600,4208754922,People For Justice!,MissouriNewsUS,,#NeverHillary,,5401,5939,2015-11-17,en,en,There are powerful interests who desperately need you to give up on Bernie. Abandon them instead. #FeelTheBern https://t.co/CGEZG8lFGl,2016-04-30 02:06,Twitter Web Client,,,,False,,,,,0.0,8.0,41.0,69.0,[FeelTheBern],[],,
1,696393063145418752,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,#FeelTheBern on Reagan's birthday.  God bless America and free market https://t.co/7HmoMY8vfn,2016-02-07 18:00,TweetDeck,,,,False,,,,,0.0,0.0,13.0,14.0,[FeelTheBern],[],,
2,716607128186789889,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,No need to get a job when you #FeelTheBern https://t.co/EmU8g8ngZN,2016-04-03 12:43,Twitter Web Client,,,,False,,,,,0.0,0.0,15.0,19.0,[FeelTheBern],[],,
3,726724025062445057,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"Awkward, isn't it? #FeelTheBern yet? https://t.co/Aq9bl4MWYZ https://t.co/JfuKX6BJS7",2016-05-01 10:44,TweetDeck,,,,False,,,,,0.0,1.0,13.0,12.0,[FeelTheBern],[http://www.progressivestoday.com/man-wants-big-money-politics-spent-anyone-2016/],,
4,718860788463575041,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,It's like a garlic for vampires #FeelTheBern https://t.co/DdR81eTPNS,2016-04-09 17:59,TweetDeck,,,,False,,,,,0.0,1.0,15.0,19.0,[FeelTheBern],[],,
5,680937865384169472,4208754922,People For Justice!,MissouriNewsUS,,#NeverHillary,,5401,5939,2015-11-17,en,und,#Bernie2016 #FeelTheBern @realDonaldTrump @SenSanders @GOP @HillaryClinton https://t.co/xa9Ghu8NKR,2015-12-27 02:26,Twitter Web Client,,,,False,,,,,0.0,1.0,3.0,1.0,"[Bernie2016, FeelTheBern]",[],"[1339835893, 11134252, 29442313, 25073877]",
6,740727470303776768,4208754922,People For Justice!,MissouriNewsUS,,#NeverHillary,,5401,5939,2015-11-17,en,en,Bernie returns home and Vermont shows they know how to #FeelTheBern Welcome home Bernie! See you in philly. https://t.co/BT3mZgvXb3,2016-06-09 02:09,Twitter Web Client,,,,False,,,,,0.0,2.0,127.0,100.0,[FeelTheBern],[],,
7,717323658574716928,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Bernie Sanders considers that people lining up for food is a good thing #FeelTheBern https://t.co/9r9EwATlwa,2016-04-05 12:11,TweetDeck,,,,False,,,,,0.0,7.0,31.0,43.0,[FeelTheBern],[],,
8,703261753094889472,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Do us a favor and just stop this nonsense #FeelTheBern https://t.co/4UOs18Cv8A,2016-02-26 16:54,Twitter Web Client,,,,False,,,,,0.0,1.0,14.0,14.0,[FeelTheBern],[],,
9,730784631310540801,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,'Greed is what's worng with America! Now give all your money to me!' #FeelTheBern https://t.co/l83disWsCo,2016-05-12 15:40,TweetDeck,,,,False,,,,,0.0,3.0,61.0,48.0,[FeelTheBern],[],,
