,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,755478087916150785,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Now they think that #feminism can improve school marks 🤔🤔🤔 https://t.co/SgxKSi6WBy,2016-07-19 19:03,TweetDeck,,,,False,,,,,18.0,38.0,93.0,64.0,[feminism],[],,
1,846116049317613568,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,I should stop posting this... But I can't help myself! Must be brainwashed by patriarchy agenda #Feminism https://t.co/X4ql6KkMu6,2017-03-26 21:46,TweetDeck,,,,False,,,,,12.0,15.0,140.0,129.0,[Feminism],[],,
2,662742030062194688,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"Females in politics is a sign of progress? Then, #Rwanda is the most progressive country in the world #feminism https://t.co/bEiRHp82Ns",2015-11-06 21:23,TweetDeck,,,,False,,,,,0.0,1.0,6.0,4.0,"[Rwanda, feminism]",[],,
3,773916422384734208,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"Of course, #feminism has nothing in common with discrimination and man-hating https://t.co/N34w8IPYdL",2016-09-08 16:10,TweetDeck,,,,False,,,,,4.0,30.0,61.0,40.0,[feminism],[],,
4,728256741939417091,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,It's disgusting!Feminists are trying to use this to push their agenda instead of talking about the issue #feminism https://t.co/GoTwuBManf,2016-05-05 16:15,TweetDeck,,,,False,,,,,0.0,20.0,48.0,35.0,[feminism],[],,
5,767782103941386240,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,The main issue of #Feminism https://t.co/fP19FSNChq https://t.co/bAhLlBFEbn,2016-08-22 17:54,WordPress.com,,,,False,,,,,5.0,9.0,24.0,14.0,[Feminism],[https://jennabrams.wordpress.com/2016/08/22/the-main-issue-of-feminism],,
6,752150915881197568,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,I guess this is how the real #feminism should look like https://t.co/Na9QfF4YKn,2016-07-10 14:42,TweetDeck,,,,False,,,,,3.0,8.0,85.0,65.0,[feminism],[],,
7,702587508450791424,4271904983,Heart Of Texas,ItsTimeToSecede,All Over Texas,TX patriots united for real action. GET READY TO SECEDE! #2A  #Texit #TexasSecede #Texodus,https://t.co/IKv4rYSgsq,5518,6052,2015-11-25,en,en,Nothing empowers women more than a gun! #GunControl #Feminism https://t.co/it1xaChtmS,2016-02-24 20:14,TweetDeck,,,,False,,,,,0.0,1.0,7.0,2.0,"[GunControl, Feminism]",[],,
8,738893431544643585,4311371968,Right and Proud,rightnpr,,Conservative; Politically incorrect; Christian. Proud American; The only Left we have is Regressive Left,,8860,7676,2015-11-28,en,en,What kind of #FEMINISM would YOU prefer! https://t.co/aJmAsz7e3Z,2016-06-04 00:41,TweetDeck,,,,False,,,,,0.0,1.0,13.0,15.0,[FEMINISM],[],,
9,768172463020773376,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,I just published “The main issue of #Feminism” https://t.co/3v7Iiwljzc,2016-08-23 19:46,Medium,,,,False,,,,,1.0,8.0,26.0,14.0,[Feminism],[https://medium.com/p/the-main-issue-of-feminism-32486d9c6e3b],,
10,641729552545263616,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,it's all about #feminism http://t.co/LkYIQxI719,2015-09-09 21:47,TweetDeck,,,,False,,,,,0.0,1.0,6.0,3.0,[feminism],[],,
11,846134419341529088,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"OK, that's the last one. I need #Feminism because it's so much fun! https://t.co/PGrnfJlhfs",2017-03-26 22:59,TweetDeck,,,,False,,,,,5.0,17.0,123.0,92.0,[Feminism],[],,
12,676790589375905794,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,#Feminism is the idea that we can make both sexes equal by focusing solely on the issue of one of them https://t.co/ac2Clqo10p,2015-12-15 15:47,TweetDeck,,,,False,,,,,0.0,0.0,16.0,9.0,[Feminism],[],,
13,769235166589952000,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"This is an awesome experiment Damn patriarchy! Stupid men! Go, #Feminism 😁 https://t.co/uvcjNoFwp7",2016-08-26 18:08,Twitter Web Client,,,,False,,,,,1.0,3.0,13.0,7.0,[Feminism],[http://www.returnofkings.com/32053/this-accidental-experiment-shows-the-superiority-of-patriarchy],,
14,694438384836579328,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,1 in 3 women and 1 in 4 men have been victims of physical violence by an intimate partner during lifetime #Feminism https://t.co/7ItgUG2Zwd,2016-02-02 08:33,TweetDeck,,,,False,,,,,0.0,5.0,12.0,12.0,[Feminism],[],,
15,685883178620432385,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,und,#Feminism https://t.co/l12ZSv2MTh,2016-01-09 17:57,Twitter Web Client,,,,False,,,,,0.0,9.0,86.0,95.0,[Feminism],[],,
16,670321722994745344,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,...or I'll eat you  #FeminismIsAwful #feminism https://t.co/d3tfFkpU9O,2015-11-27 19:22,TweetDeck,,,,False,,,,,0.0,18.0,64.0,39.0,"[FeminismIsAwful, feminism]",[],,
17,852111767669018625,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,#OffendEveryoneIn4Words Feminism Doesn't Justify Obesity #feminism,2017-04-12 10:50,Twitter Web Client,,,,False,,,,,0.0,3.0,42.0,9.0,"[OffendEveryoneIn4Words, feminism]",[],,
