,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,669876081902673920,4103087435,Patriot Archive,Patriot_Archive,,American history in quotes & videos. Mostly politics.,,7183,6848,2015-11-03,en,und,#Patrioquotes #Quotes #Politics #Patriotism #America #USA #TXS #Patriots #sayings #proverbs #brainyquote #god https://t.co/As9QGtfjEf,2015-11-26 13:51,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,3.0,"[Patrioquotes, Quotes, Politics, Patriotism, America, USA, TXS, Patriots, sayings, proverbs, brainyquote, god]",[],,
1,669876191080415232,4103087435,Patriot Archive,Patriot_Archive,,American history in quotes & videos. Mostly politics.,,7183,6848,2015-11-03,en,und,#Patrioquotes #Quotes #Politics #Patriotism #America #USA #TXS #Patriots #sayings #proverbs #brainyquote #god https://t.co/8CsGCzP9A9,2015-11-26 13:51,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,3.0,"[Patrioquotes, Quotes, Politics, Patriotism, America, USA, TXS, Patriots, sayings, proverbs, brainyquote, god]",[],,
2,728736211599118336,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,"Harriet #Tubman, On The #Money: Resisting Evil, Trusting #God https://t.co/eHS5a8qeYZ https://t.co/BkaMNJUrpI",2016-05-07 00:00,TweetDeck,,,,False,,,,,0.0,3.0,5.0,2.0,"[Tubman, Money, God]",[http://bit.ly/1SSfKl6],,
3,811873002451271680,2573225349,Dominic Valentine,DominicValent,US,Try to be a rainbow in someone's cloud,,5116,4136,2014-05-31,en,en,"RT @darrynzewalk: Don't put your faith in your situation, surrender your situation to #God..",2016-12-22 09:56,Twitter Web Client,,,,True,30561781,8.118439786728735e+17,,,0.0,0.0,0.0,0.0,[God],[],[30561781],
4,664085659934674944,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,PRAYING FOR AMERICA! #BeingPatriotic #Patriots #USA #GOD https://t.co/h6oft2FDmC,2015-11-10 14:22,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,1.0,"[BeingPatriotic, Patriots, USA, GOD]",[],,
5,811878272221016064,1650681522,Messiah Haynes,IlikeBIGbuttand,United States,The only true wisdom is in knowing you know nothing!,,5172,2833,2013-08-06,en,en,RT @darrynzewalk: #God must be #1 https://t.co/5GuGIx2cgH,2016-12-22 10:17,Twitter Web Client,,,,True,30561781,8.062949494824264e+17,,,0.0,0.0,0.0,0.0,[God],[],[30561781],
6,811880219283963904,2496599688,Rita Hart,NotRitaHart,Atlanta,Lost in the moment,,5373,3905,2014-05-15,en,en,RT @darrynzewalk: #God must be #1 https://t.co/5GuGIx2cgH,2016-12-22 10:25,Twitter Web Client,,,,True,30561781,8.062949494824264e+17,,,0.0,0.0,0.0,0.0,[God],[],[30561781],
7,605799256805408768,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @Shaughn_A: Hope all is well with y'all all around. #God bless....BBL 👊🏿🇺🇸,2015-06-02 18:12,erased8287492,,,,True,27046785,6.05789499935703e+17,,,0.0,0.0,0.0,0.0,[God],[],[27046785],
8,658600194234126337,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,Thank you for your service soldier! #BeingPatriot #Soldier #American #Army #Dog #USA #God https://t.co/GqJEpUW3KU,2015-10-26 11:04,Twitter Web Client,,,,False,,,,,0.0,0.0,10.0,11.0,"[BeingPatriot, Soldier, American, Army, Dog, USA, God]",[],,
9,553151636420317185,2742482932,Casey Pittman,cascaseyp,"London, England",Do not let what you cannot do interfere with what you can do.,,5328,4282,2014-08-14,en,en,#GalileoGalilei I do not feel obliged to #believe that the same #God,2015-01-08 11:30,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[GalileoGalilei, believe, God]",,,
