,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,636639774007128064,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,.@realDonaldTrump wants money and power not our needs and country prosperity #GodBlessAmerica http://t.co/pJlZ8UbSlW,2015-08-26 20:42,TweetDeck,,,,False,,,,,0.0,3.0,7.0,3.0,[GodBlessAmerica],[],[25073877],
1,822503260569370626,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,"""We will get the job done!"" - Trump's inaugural speech. Finally a president willing to do his job! #GodBlessAmerica https://t.co/lJY9M8L5pN",2017-01-20 17:57,Twitter Web Client,,,,False,,,,,2.0,1.0,67.0,40.0,[GodBlessAmerica],[],,
2,736270016685985794,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,#MemorialDay Photo of Ohio Teen Holding Up a Fallen American Flag Goes Viral! #GodBlessAmerica https://t.co/jnYPCmEd1a,2016-05-27 18:57,Twitter Web Client,,,,False,,,,,0.0,3.0,74.0,73.0,"[MemorialDay, GodBlessAmerica]",[],,
3,718518101239853059,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,#VoteTrump Don't let America become like Europe! #MakeAmericaGreatAgain #TrumpTrain #GodBlessAmerica https://t.co/Je8S3K5Ymx,2016-04-08 19:17,TweetDeck,,,,False,,,,,0.0,1.0,22.0,37.0,"[VoteTrump, MakeAmericaGreatAgain, TrumpTrain, GodBlessAmerica]",[],,
4,736278390416642048,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,If don't think so get out! Nobody holds you in our great country!  #GodBlessAmerica https://t.co/pPArjZp4Yb,2016-05-27 19:30,TweetDeck,,,,False,,,,,0.0,4.0,69.0,85.0,[GodBlessAmerica],[],,
5,642308959337082880,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"#GodBlessAmerica We will never forget unfairly taken lives, we will never let this happen again! http://t.co/evebd3LTU4",2015-09-11 12:09,Twitter Web Client,,,,False,,,,,0.0,0.0,4.0,3.0,[GodBlessAmerica],[],,
6,688819237545209856,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,like=agree #GodBlessAmerica https://t.co/d5POwjLA3N,2016-01-17 20:24,Twitter Web Client,,,,False,,,,,0.0,1.0,31.0,24.0,[GodBlessAmerica],[],,
7,745642536732004352,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,Just some war puppies. They fight for our freedom as well! #GodBlessAmerica https://t.co/i3yFBDpTFG,2016-06-22 15:40,TweetDeck,,,,False,,,,,2.0,4.0,48.0,38.0,[GodBlessAmerica],[],,
8,750451960298377216,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,If you don't think so get out! Nobody holds you in our great country!  #GodBlessAmerica https://t.co/OFbYa84flm,2016-07-05 22:11,TweetDeck,,,,False,,,,,3.0,7.0,80.0,94.0,[GodBlessAmerica],[],,
9,751407502898503680,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,"#BluelivesMatter Attacks on cops, everyday shootings... You can't fight it with love #GodBlessAmerica https://t.co/RXEXajzNYk",2016-07-08 13:28,TweetDeck,,,,False,,,,,3.0,1.0,47.0,51.0,"[BluelivesMatter, GodBlessAmerica]",[],,
10,729023095034384386,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,"One flag, One land, One heart,  One hand, One Nation evermore! #GodBlessAmerica",2016-05-07 19:00,TweetDeck,,,,False,,,,,0.0,1.0,25.0,17.0,[GodBlessAmerica],[],,
11,606272642241466368,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @ChristiChat: Thank you for Retweets➰Follows➰Chats  ❤️Plant the good seeds of Righteousness...  #GodBlessAmerica http://t.co/Efe8Nq8Li0,2015-06-04 01:33,Nebuchadnezzar2,,,,True,732980827,6.062622909718036e+17,,,0.0,0.0,0.0,0.0,[GodBlessAmerica],[],[732980827],
12,822499135039410176,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,"Finally, we have a real president who is not affraid to call Islamic terrorism by the right name! No more PC and censorship #GodBlessAmerica https://t.co/EIcbzPEB4W",2017-01-20 17:40,Twitter Web Client,,,,False,,,,,14.0,17.0,470.0,255.0,[GodBlessAmerica],[],,
13,745001667465117697,3990577513,Tea Party News,tpartynews,,,,21498,22407,2015-10-23,en,en,People are so obsessed about #WorldRefugeeDay and forget about #AmericanEagleDay! #GodBlessAmerica https://t.co/FMGNcNWdRw,2016-06-20 21:13,TweetDeck,,,,False,,,,,1.0,1.0,34.0,34.0,"[WorldRefugeeDay, AmericanEagleDay, GodBlessAmerica]",[],,
14,735831253505695744,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,3 White Students Charged With Hanger Assault On Black Classmate https://t.co/NEAAmTH91r #USviolence #GodBlessAmerica https://t.co/2U9OZ4uyWb,2016-05-26 13:53,Twitter Web Client,,,,False,,,,,0.0,6.0,11.0,29.0,"[USviolence, GodBlessAmerica]",[http://bit.ly/1XzcxZe],,
15,741244543626973185,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,Kyle Karpenter threw himself on a grenade to save a friend. This is him today. Real hero! #GodBlessAmerica https://t.co/u3N2Fdlyop,2016-06-10 12:24,TweetDeck,,,,False,,,,,2.0,10.0,145.0,109.0,[GodBlessAmerica],[],,
16,687730558839820291,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,My reaction when I see someone hating on the greatest country ever #GodBlessAmerica https://t.co/loc0QR8lAM,2016-01-14 20:18,Twitter Web Client,,,,False,,,,,0.0,1.0,6.0,7.0,[GodBlessAmerica],[],,
17,636658406489587712,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,This pictures describes Obama very well  #GodBlessAmerica http://t.co/W4XQe5VCXk,2015-08-26 21:56,TweetDeck,,,,False,,,,,0.0,1.0,14.0,16.0,[GodBlessAmerica],[],,
