,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,697061371339501568,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,A liar and a criminal should not become the president of the United States. That's all we have to say about #Hillary https://t.co/H15nxdDpcY,2016-02-09 14:15,Twitter Web Client,,,,False,,,,,0.0,0.0,16.0,9.0,[Hillary],[],,
1,679103519270506496,4437444442,Pamela Kealer,PamelaKealer13,"Texas, USA",,,10226,10184,2015-12-10,en,en,Five lies #Hillary Clinton told in Saturday’s debate  https://t.co/8glY8ZQPTL https://t.co/4iU012NiN4,2015-12-22 00:57,Twitter Web Client,,,,False,,,,,0.0,2.0,9.0,28.0,[Hillary],[http://www.redstate.com/2015/12/21/five-lies-hillary-clinton-told-saturdays-debate/],,
2,794009476366041088,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,RT @S_T_O_P_TERROR: #HILLARY'S 5 FBI LIES   Must Share Video💯👍  @realDonaldTrump @KellyannePolls @DonaldJTrumpJr @IvankaTrump @EricTrump #M…,2016-11-03 02:53,Twitter Web Client,,,,True,2976578589,7.940030621217628e+17,,,0.0,0.0,0.0,0.0,[HILLARY],[],"[2976578589, 52544275, 39349894, 471672239, 25073877, 39344374]",
3,792063887193444352,2570631118,Politweecs,Politweecs,United States,Tweets and politics,,36094,20288,2014-05-29,en,en,"#Trump angry at media for questioning him about his hotel opening, asks why nobody slams #Hillary for going at Adele concert https://t.co/hmrCZPSimt",2016-10-28 18:02,TweetDeck,,,,False,,,,,0.0,0.0,15.0,19.0,"[Trump, Hillary]",[],,
4,737732903505797124,4311371968,Right and Proud,rightnpr,,Conservative; Politically incorrect; Christian. Proud American; The only Left we have is Regressive Left,,8860,7676,2015-11-28,en,en,"MSM's image of #Hillary: The Seals were shitting their pants, Rangers were crying: she saved the whole platoon! https://t.co/bI7sUuA4Te",2016-05-31 19:50,TweetDeck,,,,False,,,,,0.0,1.0,8.0,5.0,[Hillary],[],,
5,620961570923778048,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"50 Cent, #Hillary's cupporter, declares bankruptcy Is it a coincidence? Hmmm...",2015-07-14 14:22,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,7.0,[Hillary],[],,
6,795376889162502144,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,#HILLARY'S 5 FBI LIES WHICH FBI DIRECTOR COMEY IGNORED  Must Share Video https://t.co/Z5FPiTkeOv,2016-11-06 21:26,Twitter Web Client,,,,False,,,,,22.0,12.0,224.0,375.0,[HILLARY],[],,
7,694665782605643776,4437444442,Pamela Kealer,PamelaKealer13,"Texas, USA",,,10226,10184,2015-12-10,en,en,#Hillary in 2016 be like https://t.co/SqyKHk27OA,2016-02-02 23:36,Twitter Web Client,,,,False,,,,,0.0,0.0,8.0,13.0,[Hillary],[],,
8,780805149598056450,2570631118,Politweecs,Politweecs,United States,Tweets and politics,,36094,20288,2014-05-29,en,en,Majority of snap polls show #Trump won debate by a landslide despite #CNN's overwhelming victory for #Hillary in biggest official survey https://t.co/A2rncXWiW9,2016-09-27 16:23,TweetDeck,,,,False,,,,,5.0,8.0,28.0,41.0,"[Trump, CNN, Hillary]",[],,
9,647478248096423936,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,und,#Hillary http://t.co/QQdnDywcM6,2015-09-25 18:30,TweetDeck,,,,False,,,,,0.0,0.0,4.0,4.0,[Hillary],[],,
10,688833845005791235,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#Hillary actually said this https://t.co/ITxFTULCz5,2016-01-17 21:22,Twitter Web Client,,,,False,,,,,0.0,1.0,24.0,30.0,[Hillary],[],,
11,609751582272434176,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"#Hillary Clinton says she will follow in @BarackObama 's footsteps. Ok, thank you, stop right now",2015-06-13 15:58,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,0.0,[Hillary],[],[813286],
12,676905082395353089,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Why we let #Hillary to be a candidate for president? https://t.co/qDdTcvtCu9,2015-12-15 23:22,TweetDeck,,,,False,,,,,0.0,9.0,32.0,57.0,[Hillary],[],,
13,662607955804614657,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Even reductio ad Hitlerum works on #Hillary https://t.co/vngvBehRi4,2015-11-06 12:30,TweetDeck,,,,False,,,,,0.0,0.0,5.0,7.0,[Hillary],[],,
