,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,659791955937787904,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#WhatKeepsMeUpAtNight #HillaryClinton under my bed https://t.co/nnfqmo8B5b,2015-10-29 18:00,TweetDeck,,,,False,,,,,0.0,1.0,1.0,2.0,"[WhatKeepsMeUpAtNight, HillaryClinton]",[],,
1,786244287872708608,2570631118,Politweecs,Politweecs,United States,Tweets and politics,,36094,20288,2014-05-29,en,en,"#TedCruz lets loose on why he's standing by #Trump: ""#HillaryClinton is an absolute disaster"" https://t.co/bnmRbf9Xfr",2016-10-12 16:37,TweetDeck,,,,False,,,,,1.0,1.0,39.0,53.0,"[TedCruz, Trump, HillaryClinton]",[],,
2,694663847274086400,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,#HillaryClinton in 2016 be like https://t.co/FaiBmeZ5EY,2016-02-02 23:29,TweetDeck,,,,False,,,,,0.0,6.0,51.0,70.0,[HillaryClinton],[],,
3,676466710388453376,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"The ""I'm not voting for #HillaryClinton"" starter pack https://t.co/iQUFMdi5rO",2015-12-14 18:20,TweetDeck,,,,False,,,,,0.0,2.0,17.0,13.0,[HillaryClinton],[],,
4,700852388731551746,3074563039,St. Louis Online,StLouisOnline,"St Louis, MO","Breaking news, weather, traffic and more for St. Louis. DM us anytime. RTs not endorsements",,10534,8576,2015-03-12,en,en,‘I’m not being exploited’: #SandraBland’s mother talks endorsing #HillaryClinton https://t.co/rq5bPU0RvU https://t.co/9m2PpdxBhm,2016-02-20 01:20,TweetDeck,,,,False,,,,,0.0,0.0,0.0,1.0,"[SandraBland, HillaryClinton]",[http://bit.ly/1PMdbyd],,
5,624745943141761024,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#HillaryClinton says 'American business needs to break free from the tyranny of today's earnings report' http://t.co/yHzPtfRCjV,2015-07-25 01:00,TweetDeck,,,,False,,,,,0.0,2.0,1.0,4.0,[HillaryClinton],[],,
6,703412743823454209,2587474264,Minneapolis Online,MinneapolisON,"Minneapolis, MN","Breaking news, weather, traffic and more for Minneapolis. DM us anytime. RTs not endorsements",,13481,7724,2014-06-06,en,en,How can black people trust #HillaryClinton after the 2008 campaign? https://t.co/lePUa8mTU6 https://t.co/tLqusPfPGO,2016-02-27 02:54,TweetDeck,,,,False,,,,,0.0,1.0,1.0,0.0,[HillaryClinton],[http://huff.to/21oozJ1],,
7,623266218577825793,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"#HillaryClinton writes, 'We need to acknowledge some hard truths about race and justice in this country http://t.co/JnZDru0kKP",2015-07-20 23:00,TweetDeck,,,,False,,,,,0.0,2.0,0.0,2.0,[HillaryClinton],[],,
8,666012867687153664,2743327187,Washington Online,WashingtOnline,"Washington, D.C.","Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements",,40762,14404,2014-08-15,en,en,A defensive #HillaryClinton lost last night’s debate https://t.co/WuCMhAV0M3 https://t.co/P9DGmt9SfN,2015-11-15 22:00,TweetDeck,,,,False,,,,,0.0,3.0,4.0,12.0,[HillaryClinton],[http://wapo.st/1PuLBHO],,
9,763068109427052548,2570631118,Politweecs,Politweecs,United States,Tweets and politics,,36094,20288,2014-05-29,en,en,"#HillaryClinton vows to go after people who don’t exist, silence dissent on climate change https://t.co/gyYA1EduRz",2016-08-09 17:43,TweetDeck,,,,False,,,,,1.0,0.0,12.0,28.0,[HillaryClinton],[],,
