,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,555057414299729920,2928870434,Newspeak Daily,NewspeakDaily,,it's never too late to reinvent the bicycle,,5816,865,2014-12-13,en,en,give what you can #humanrights http://t.co/4wQXLeeFB5,2015-01-13 17:42,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[humanrights],[],,
1,746332335654711296,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,RT @Jeannie_Hartley: #SexualAssault #Rape #BROCKTURNER #RapeCulture #Victimblaming #vaw #WomensRights #HumanRights https://t.co/QzbUuYATls,2016-06-24 13:21,Twitter Web Client,,,7.462389131030446e+17,True,192477353,7.463320549006418e+17,,,0.0,0.0,0.0,0.0,"[SexualAssault, Rape, BROCKTURNER, RapeCulture, Victimblaming, vaw, WomensRights, HumanRights]",[https://twitter.com/gloed_up/status/746238913103044613],[192477353],
2,722744642572161025,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"Why so selective? I guess money is involved, as simple as that! #MoneyTalks  #HumanRights https://t.co/0ED7wDbwG5",2016-04-20 11:12,TweetDeck,,,,False,,,,,0.0,1.0,9.0,16.0,"[MoneyTalks, HumanRights]",[],,
3,724668060846563328,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#Turkey shows respect to #HumanRights once again https://t.co/KM0pFApkrA https://t.co/llkqhI24b6,2016-04-25 18:35,TweetDeck,,,,False,,,,,0.0,0.0,4.0,6.0,"[Turkey, HumanRights]",[http://www.theguardian.com/world/2016/apr/24/dutch-journalist-ebru-umar-arrested-in-turkey-for-criticising-erdogan],,
4,624909411899736064,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#humanrights in Canada are under assault under PM Stephen Harper: right groups http://t.co/L79oNm4U7U,2015-07-25 11:49,TweetDeck,,,,False,,,,,0.0,0.0,2.0,3.0,[humanrights],[],,
5,679757531716124673,4208754922,People For Justice!,MissouriNewsUS,,#NeverHillary,,5401,5939,2015-11-17,en,en,@BlackLivesMpls @deray don`t let them violate our rights! #BlackLivesMatter #humanrights,2015-12-23 20:16,TweetDeck,6.79720320173908e+17,2904739781,,False,,,,,0.0,0.0,1.0,0.0,"[BlackLivesMatter, humanrights]",[],"[2904739781, 29417304]",
6,693923786404528128,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @victormarcal_: Unfortunately the same happens every day in Brazil #policeviolence #humanrights  https://t.co/TsFjM8ZIbb,2016-01-31 22:28,Twitter Web Client,,,,True,48233612,6.939235083683594e+17,,,0.0,0.0,0.0,0.0,"[policeviolence, humanrights]",[https://twitter.com/BleepThePolice/status/693915811379961856],[48233612],
7,646713880857604097,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"US ""Welcomes"" news that Saudi Arabia will head UN #HumanRights Panel http://t.co/rnlkoHigbE",2015-09-23 15:52,Twitter Web Client,,,,False,,,,,0.0,8.0,11.0,21.0,[HumanRights],[],,
8,780529276902739968,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @VeeWade: Black people are under assault in the US! Police assault and brutality are #HumanRights violations in the US! @SocialIssueNews…,2016-09-26 22:07,Twitter Web Client,,,7.805252481856348e+17,True,3385054665,7.805291793601905e+17,,,0.0,0.0,0.0,0.0,[HumanRights],[],"[3385054665, 2157919340]",
9,670942295814889472,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Turkish #humanrights lawyer shot dead during press conference. That's pretty much all you need to know about Turkey https://t.co/R2ICQuF7y4,2015-11-29 12:28,TweetDeck,,,,False,,,,,0.0,2.0,33.0,60.0,[humanrights],[],,
10,658000035339071488,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Suspected Jewish extremist attacks #HumanRights rabbi https://t.co/7WaJOA95qQ,2015-10-24 19:20,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,[HumanRights],[],,
11,671818321096904705,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"#HumanRights campaign wants to ""Make America Gay Again."" Looks quite offensive https://t.co/4cw4xwlqnL",2015-12-01 22:29,TweetDeck,,,,False,,,,,0.0,3.0,1.0,3.0,[HumanRights],[],,
12,678395606734344194,4208754922,People For Justice!,MissouriNewsUS,,#NeverHillary,,5401,5939,2015-11-17,en,en,Uniting we can fight #ISIS #DemDebates  #jihadi #humanrights,2015-12-20 02:04,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[ISIS, DemDebates, jihadi, humanrights]",[],,
