,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,669864211653238784,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,und,#SouthLoneStar #texas #tx #lonestar #liberty #rebel #free #lonestarstate #texassecede #freetexas #independence https://t.co/1uGJyTpVIk,2015-11-26 13:04,Twitter Web Client,,,,False,,,,,0.0,2.0,3.0,3.0,"[SouthLoneStar, texas, tx, lonestar, liberty, rebel, free, lonestarstate, texassecede, freetexas, independence]",[],,
1,615505072940646400,2587843805,KansasCityDailyNews,KansasDailyNews,"Kansas City, MO","Local news, sports, business, politics, entertainment, travel and opinion for Kansas. DM us 24/7",,29357,6720,2014-06-06,en,en,Disturbance outside #Independence Events Center leads to multiple arrests http://t.co/ZEFkDIukI5,2015-06-29 13:00,TweetDeck,,,,False,,,,,0.0,1.0,0.0,0.0,[Independence],[],,
2,750781421015347201,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Why #Black People Had To Create Their Own #Independence Day? https://t.co/uVjNyybQUk https://t.co/NM8lw1rqvF,2016-07-06 20:00,TweetDeck,,,,False,,,,,1.0,1.0,18.0,14.0,"[Black, Independence]",[http://blacktolive.org/?p=9607],,
3,658627222400561152,2587843805,KansasCityDailyNews,KansasDailyNews,"Kansas City, MO","Local news, sports, business, politics, entertainment, travel and opinion for Kansas. DM us 24/7",,29357,6720,2014-06-06,en,en,One person killed in eastern #Independence crash https://t.co/VzPMhEqH8l,2015-10-26 12:52,TweetDeck,,,,False,,,,,0.0,0.0,1.0,1.0,[Independence],[],,
4,872474684935327744,3899481526,Syria Today,todayinsyria,,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,https://t.co/mP25oJmJdz,35122,9500,2015-10-08,en,en,"#Iraq | #Kurdistan Region to hold #independence referendum on September 25, 2017 https://t.co/raNOgejWwc https://t.co/9xM5Yt48pj",2017-06-07 15:25,Twitter Web Client,,,,False,,,,,5.0,1.0,17.0,27.0,"[Iraq, Kurdistan, independence]",[http://www.rudaw.net/english/kurdistan/070620171],,
5,669863544037482497,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,und,#SouthLoneStar #texas #tx #lonestar #liberty #rebel #free #lonestarstate #texassecede #freetexas #independence https://t.co/H8ArU6bVp9,2015-11-26 13:01,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,1.0,"[SouthLoneStar, texas, tx, lonestar, liberty, rebel, free, lonestarstate, texassecede, freetexas, independence]",[],,
6,749188807791108096,2569229674,Lora Green,LoraGreeen,New - York,Be the change that you wish to see in the world,,7446,7377,2014-05-28,en,en,RT @MiaPinchoff: #InsteadOfFireworks have a butt explosion 🇺🇸💩💨🎉 #buttstuff #4thofJulyweekend #Independence https://t.co/hgYcF4TEMP,2016-07-02 10:31,Twitter Web Client,,,,True,1053630288,7.491735106232074e+17,,,0.0,0.0,0.0,0.0,"[InsteadOfFireworks, buttstuff, 4thofJulyweekend, Independence]",[],[1053630288],
7,669862064458985472,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,und,#SouthLoneStar #texas #tx #lonestar #liberty #rebel #free #lonestarstate #texassecede #freetexas #independence https://t.co/BE6x2kmMsp,2015-11-26 12:55,Twitter Web Client,,,,False,,,,,0.0,0.0,4.0,3.0,"[SouthLoneStar, texas, tx, lonestar, liberty, rebel, free, lonestarstate, texassecede, freetexas, independence]",[],,
8,677199977714708485,4332740714,Gunslinger Girl,USA_Gunslinger,"Wisconsin, USA","Truth is strong, and sometime or other will prevail!",,44895,45382,2015-11-23,en,en,Today is the 242nd Boston Tea Party anniversary! #ThisDayInHistory #Independence https://t.co/qPrexpkg8t,2015-12-16 18:53,TweetDeck,,,,False,,,,,0.0,2.0,21.0,40.0,"[ThisDayInHistory, Independence]",[],,
9,701962559067398144,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,I'll be waiting for y'all there! #texas #texassecede #secede #independence https://t.co/DjUVfmAqFU,2016-02-23 02:51,Twitter Web Client,,,,False,,,,,0.0,1.0,9.0,3.0,"[texas, texassecede, secede, independence]",[],,
