,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,614105343568711680,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Raul Castro’s daughter leads Cuba’s #LGBT revolution http://t.co/qKy0zeWFO7,2015-06-25 16:18,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,2.0,[LGBT],[],,
1,597169452136796160,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#JebBush attacks #Obama for failing 'Easy Calls' on #religiousfreedom. Cuz religion was here before #LGBT http://t.co/37KKFPcO5u,2015-05-09 22:41,TweetDeck,,,,False,,,,,0.0,1.0,0.0,0.0,"[JebBush, Obama, religiousfreedom, LGBT]",[],,
2,622058685326471168,2630842499,San Diego Daily,DailySanDiego,"San Diego, CA","Follow for San Diego's breaking news, special reports, entertainment and more from @DailySanDiego",,22715,8255,2014-06-22,en,en,Justice Anthony Kennedy in #SanDiego ahead of #LGBT Pride http://t.co/WUWHrW26Si,2015-07-17 15:02,TweetDeck,,,,False,,,,,0.0,0.0,4.0,1.0,"[SanDiego, LGBT]",[],,
3,634747596804878340,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"@WashTimes tooooo much noise around #LGBT Looks like the world has no wars, poverty, polution etc",2015-08-21 15:23,Twitter Web Client,6.347469075716792e+17,14662354,,False,,,,,0.0,0.0,0.0,0.0,[LGBT],[],[14662354],
4,435307403433623552,2329889815,Политкач,Politkach,Сочи,,https://t.co/MZypMIMiuS,9418,602,2014-02-06,ru,ru,Мы такие разные... #Sochiproblems #CheersToSochi #LGBT http://t.co/ktmsn0j3f4,2014-02-17 06:59,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[Sochiproblems, CheersToSochi, LGBT]",[],,
5,751121153209475073,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,These guys still believe that Muslims will leave gays alone! How stupid! #Orlando #LGBT https://t.co/v30OwcSjoA,2016-07-07 18:30,TweetDeck,,,,False,,,,,19.0,34.0,85.0,112.0,"[Orlando, LGBT]",[],,
6,594545304164175872,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,@PoliticalLaughs #LGBT watch out!,2015-05-02 16:53,Twitter Web Client,5.9419606320196e+17,374138602,,False,,,,,0.0,0.0,0.0,0.0,[LGBT],[],[374138602],
7,743148015133700096,4437444442,Pamela Kealer,PamelaKealer13,"Texas, USA",,,10226,10184,2015-12-10,en,en,Former coworker of Orlando terrorist: Mateen hated Jews &amp; #LGBT  https://t.co/038CDsKdKp https://t.co/OoQxXvGl6A,2016-06-15 18:27,Twitter Web Client,,,,False,,,,,0.0,5.0,19.0,54.0,[LGBT],[http://www.dailymail.co.uk/news/article-3638935/He-talked-killing-people-Former-worker-Orlando-terrorist-says-deranged-homophobic-toxic-racist-hated-women-loved-violence.html],,
8,747899754164654081,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,"Islamic State throws four gay men off rooftop, taunts gays with photos of murders bearing #LoveWins hashtag #LGBT https://t.co/RofARRvt0z",2016-06-28 21:09,TweetDeck,,,,False,,,,,45.0,41.0,82.0,247.0,"[LoveWins, LGBT]",[],,
9,662563178664951808,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,#LGBT Rights Activists are Trying to Strip Houston of the Super Bowl — It's Worked Before https://t.co/dg4jGrSJvk,2015-11-06 09:32,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,0.0,[LGBT],[],,
