,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,729712804937097217,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"As well as giving your country up to invaders, right?  #LiberalLogic https://t.co/nWVmrVr98Y",2016-05-09 16:41,TweetDeck,,,,False,,,,,0.0,3.0,9.0,17.0,[LiberalLogic],[],,
1,856921500213022721,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,Who can understand them?  #LiberalLogic https://t.co/uwURqXv6en,2017-04-25 17:23,TweetDeck,,,,False,,,,,0.0,5.0,42.0,27.0,[LiberalLogic],[],,
2,856859339679838208,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,#LiberalLogic in one pic https://t.co/Gn5WW2T86L,2017-04-25 13:16,TweetDeck,,,,False,,,,,7.0,5.0,57.0,68.0,[LiberalLogic],[],,
3,674667364844109824,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,und,#LiberalLogic https://t.co/5b2BtAYVmK,2015-12-09 19:10,TweetDeck,,,,False,,,,,0.0,3.0,10.0,11.0,[LiberalLogic],[],,
4,736558658583035904,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"Don’t worry, liberals say it is not a baby yet #LiberalLogic https://t.co/QMmugdMSsu",2016-05-28 14:04,TweetDeck,,,,False,,,,,0.0,5.0,75.0,75.0,[LiberalLogic],[],,
5,706167076298362881,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Look at these privileged white cis males showing off with their white cis male privilege #liberallogic https://t.co/1uk74ojV0g,2016-03-05 17:18,Twitter Web Client,,,,False,,,,,0.0,6.0,88.0,91.0,[liberallogic],[],,
6,846096672547655681,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Well... I think there's a psychiatric hospital somewhere missing its most prominent lunatic #LiberalLogic https://t.co/3cw72e5VxB,2017-03-26 20:29,TweetDeck,,,,False,,,,,7.0,18.0,78.0,55.0,[LiberalLogic],[],,
7,682218150344159232,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,und,#LiberalLogic https://t.co/ylUWU3k211,2015-12-30 15:14,Twitter Web Client,,,,False,,,,,0.0,2.0,13.0,8.0,[LiberalLogic],[],,
8,677879996329758721,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"Hey, SJW, whats up?  #LiberalLogic https://t.co/N869us3H8r",2015-12-18 15:56,Twitter Web Client,,,,False,,,,,0.0,0.0,23.0,16.0,[LiberalLogic],[],,
9,755446634696220672,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,Everything you need to know about #LiberalLogic https://t.co/XoyP25LlRA,2016-07-19 16:58,TweetDeck,,,,False,,,,,0.0,2.0,27.0,19.0,[LiberalLogic],[],,
