,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,540140604626202624,2616344667,Amy Green,AmandaVGreen,United States,You have to go through the worst to arrive at your best,,7067,5350,2014-06-17,en,en,it seemed to me the only way out was run #true #love,2014-12-03 13:48,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
1,540137899396956160,2616344667,Amy Green,AmandaVGreen,United States,You have to go through the worst to arrive at your best,,7067,5350,2014-06-17,en,en,In my heart there's no place for nobody except you #love,2014-12-03 13:38,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[love],,,
2,538996292240691200,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,it seemed to me the only way out was run #true #love,2014-11-30 10:01,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
3,529996005857443840,2882013788,Giselle Evans,GiselleEvns,"Pittsburgh, US","if you don't work hard to achieve your dreams, you'll never achieve them",,28107,13442,2014-10-29,en,en,still this is something akin to a breakdown #true #love,2014-11-05 13:57,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
4,540147817679814656,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,the decision is in #true #love,2014-12-03 14:17,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
5,541887589473460224,2496599688,Rita Hart,NotRitaHart,Atlanta,Lost in the moment,,5373,3905,2014-05-15,en,en,"i watched your feet move, your hips they sway #true #love",2014-12-08 09:30,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
6,539000233628139521,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,I'm pushing away  #love,2014-11-30 10:17,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[love],,,
7,538595195709706241,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,the sweat turns to cold #true #love,2014-11-29 07:27,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
8,530389105989804032,2882350436,Christian Morgan,ChrixMorgan,USA,I'm so funny. I can make myself laugh,,22035,9795,2014-10-29,en,en,before I've arrived I can see myself come in #true #love,2014-11-06 15:59,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
9,539420805612834817,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,right through the gates of the past and I'm finally free #true #love,2014-12-01 14:08,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
10,503112674121900033,2262049316,ЖИВОЙ ДАЙДЖЕСТ,digestlj,Санкт-Петербург,В Живом Дайджесте мы собираем всё самое захватывающее и увлекательное.,http://t.co/ZzWq22htSS,16390,1200,2013-12-25,ru,en,"RT @9625d6f574881298d3f1f7ca8e91b7cf25cfc20f20df6322495ed3c239dd9d0f: please don't touch me, I've come too far to let you bring me down #true #love",2014-08-23 09:33,newtwittersky,,,,True,9625d6f574881298d3f1f7ca8e91b7cf25cfc20f20df6322495ed3c239dd9d0f,5.0310989941364736e+17,,,0.0,0.0,0.0,0.0,"[true, love]",[],[9625d6f574881298d3f1f7ca8e91b7cf25cfc20f20df6322495ed3c239dd9d0f],
11,527505696015646720,2882350436,Christian Morgan,ChrixMorgan,USA,I'm so funny. I can make myself laugh,,22035,9795,2014-10-29,en,en,still sometimes I think how things fell apart and how you knew from the first kiss that I would break your heart  #love,2014-10-29 17:02,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[love],,,
12,502911344921038848,2262049316,ЖИВОЙ ДАЙДЖЕСТ,digestlj,Санкт-Петербург,В Живом Дайджесте мы собираем всё самое захватывающее и увлекательное.,http://t.co/ZzWq22htSS,16390,1200,2013-12-25,ru,en,RT @a0ed546ba3aada4313de87f9ec201497a636be1d56e1f5125829a5947cd55308: it ain't just the way you speak #love,2014-08-22 20:13,newtwittersky,,,,True,a0ed546ba3aada4313de87f9ec201497a636be1d56e1f5125829a5947cd55308,5.029095869456384e+17,,,0.0,0.0,0.0,0.0,[love],,[a0ed546ba3aada4313de87f9ec201497a636be1d56e1f5125829a5947cd55308],
13,540405647569743872,2496599688,Rita Hart,NotRitaHart,Atlanta,Lost in the moment,,5373,3905,2014-05-15,en,en,for a moment it's as if it were true  #love,2014-12-04 07:22,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[love],,,
14,585825041729748992,2742482932,Casey Pittman,cascaseyp,"London, England",Do not let what you cannot do interfere with what you can do.,,5328,4282,2014-08-14,en,en,"There is a land of the #living and a land of the #dead and the bridge is #love, the only survival, the only meaning.",2015-04-08 15:22,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[living, dead, love]",[],,
15,578243587529408512,2496599688,Rita Hart,NotRitaHart,Atlanta,Lost in the moment,,5373,3905,2014-05-15,en,en,history of #love 😂 https://t.co/jyFxeUfX5b,2015-03-18 17:16,TweetDeck,,,,False,,,,,0.0,0.0,1.0,2.0,[love],[https://vine.co/v/OVWn1v7FAp2],,
16,538271522381918208,2496599688,Rita Hart,NotRitaHart,Atlanta,Lost in the moment,,5373,3905,2014-05-15,en,en,catch a plane and fly away #true #love,2014-11-28 10:01,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
17,635781421513207808,449689677,Рамзан Кадыров,KadirovRussia,,"Пародийный аккаунт. Озвучиваю то, что политикам не позволено протоколом",,123989,10,2011-12-29,ru,ru,Для тех кто не рад чужому счастью: вчера вечером рейсом Рим-Москва в экономклассе! Татьяна Навка и Дмитрий Песков вернулись в Москву. #love,2015-08-24 11:51,Twitter for iPhone,,,,False,,,,,0.0,6.0,7.0,13.0,[love],[],,
18,538598306578825216,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,"dirty deeds, done dirt cheap, dirty deeds, done dirt cheap #love",2014-11-29 07:40,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[love],,,
19,530041845934333952,2882350436,Christian Morgan,ChrixMorgan,USA,I'm so funny. I can make myself laugh,,22035,9795,2014-10-29,en,en,I can see myself come in #true #love,2014-11-05 16:59,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
20,540148185830670336,2616344667,Amy Green,AmandaVGreen,United States,You have to go through the worst to arrive at your best,,7067,5350,2014-06-17,en,en,are you getting on a bit? #true #love,2014-12-03 14:18,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
21,539412877623320576,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,Honour and profit lie not in one sack  #love,2014-12-01 13:37,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[love],,,
22,538621363724898304,2532611755,Kathie,KathieMrr,Atlanta,"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring",,6709,5606,2014-05-29,en,en,cause someone must get hurt and it won't be me #true #love,2014-11-29 09:11,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[true, love]",,,
