,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,720722257320873984,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,I wasn't born out my mothers womb to make white friends nor was I born to apologize for my #blackness/#melanin skin https://t.co/YeSXlQ85CZ,2016-04-14 21:15,Twitter Web Client,,,,False,,,,,0.0,1.0,57.0,41.0,"[blackness, melanin]",[],,
1,752125446893015040,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,"CRISIS. Skin bleaching is the new African plague. You’re CREATED beautiful, it's society who’s ugly. Love #melanin https://t.co/sM5OER0XVn",2016-07-10 13:00,Twitter Web Client,,,,False,,,,,1.0,1.0,19.0,22.0,[melanin],[],,
2,732287159051358208,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,YAAASS! 👏🏿 👏🏿 👏🏿 👏🏿 👏🏿 👌🏿  #thecolorofsuccess #blackgirlsrock #melanin https://t.co/jnxcytvE8O,2016-05-16 19:10,Twitter Web Client,,,,False,,,,,0.0,2.0,65.0,46.0,"[thecolorofsuccess, blackgirlsrock, melanin]",[],,
3,663246191304425472,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,BEAT Magazine - BTS #BlackLivesMatter #blackpeopletwitter #BlackGirlsAreMagic #BlackTwitter #MelaninMagic #melanin https://t.co/WoBWO9rVtT,2015-11-08 06:46,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,0.0,"[BlackLivesMatter, blackpeopletwitter, BlackGirlsAreMagic, BlackTwitter, MelaninMagic, melanin]",[],,
4,665549330384707584,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,#BlackLivesMatter #BlackTwitter #Melanin https://t.co/xn6jCcoTR5,2015-11-14 15:18,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,1.0,"[BlackLivesMatter, BlackTwitter, Melanin]",[],,
5,681088417015410688,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,When the FBI Went After 'Mad' Magazine  #BlackToLive #policebrutality #melanin https://t.co/kchg50zFOx,2015-12-27 12:25,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[BlackToLive, policebrutality, melanin]",[],,
6,685448611249831936,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,1000 shades of #Melanin https://t.co/iRPf4mpQnu,2016-01-08 13:10,Twitter Web Client,,,,False,,,,,0.0,0.0,6.0,11.0,[Melanin],[],,
7,720732963361521664,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @BleepThePolice: I wasn't born out my mothers womb to make white friends nor was I born to apologize for my #blackness/#melanin skin htt…,2016-04-14 21:58,Twitter Web Client,,,,True,1687183549,7.20722257320874e+17,,,0.0,0.0,0.0,0.0,"[blackness, melanin]",[],[1687183549],
8,792104381810348032,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"RT @TrayneshaCole: Khoudia, you are an inspiration #BlackIsBeautiful #BlackGirlMagic #Melanin https://t.co/WKUkfjpBFd",2016-10-28 20:42,Twitter Web Client,,,,True,4859142199,7.92103942217986e+17,,,0.0,0.0,0.0,0.0,"[BlackIsBeautiful, BlackGirlMagic, Melanin]",[],[4859142199],
9,792103942217986051,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,"Khoudia, you are an inspiration #BlackIsBeautiful #BlackGirlMagic #Melanin https://t.co/WKUkfjpBFd",2016-10-28 20:41,Twitter Web Client,,,,False,,,,,5.0,1.0,132.0,109.0,"[BlackIsBeautiful, BlackGirlMagic, Melanin]",[],,
10,663245505787392000,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,serve #BlackGirls they r so beautiful. #BlackGirlsMatter #MelaninMagic #Melanin https://t.co/S6n4H3yA4c,2015-11-08 06:43,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,2.0,"[BlackGirls, BlackGirlsMatter, MelaninMagic, Melanin]",[],,
11,661675257040769024,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Hint: what should be tought in school #BlackIsBeautiful #blackLivesMatter #POC #Melanin https://t.co/Co36pqlUaF,2015-11-03 22:44,Twitter Web Client,,,,False,,,,,0.0,0.0,5.0,2.0,"[BlackIsBeautiful, blackLivesMatter, POC, Melanin]",[],,
12,752126129050443776,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"RT @realfacade1: @gloed_up A friend's niece bought some ""skin whitening"" injection online. She's now in the hospital on life support. STOP…",2016-07-10 13:03,Twitter Web Client,,,,True,3950544737,7.521258644821156e+17,,,0.0,0.0,0.0,0.0,[melanin],[],"[3312143142, 3950544737]",
13,665077254767022080,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,scary? #BlackLivesMatter #BlackTwitter #acab #art #Blackart #melanin https://t.co/D2toawd3IJ,2015-11-13 08:02,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,3.0,"[BlackLivesMatter, BlackTwitter, acab, art, Blackart, melanin]",[],,
14,659493519837388801,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Its cuz of the #melanin https://t.co/Uy2QvjdY37,2015-10-28 22:14,Twitter Web Client,,,6.594852446014628e+17,False,,,,,0.0,0.0,1.0,0.0,[melanin],[https://twitter.com/rikrik__/status/659485244601462788],,
