,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,717039802172841984,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,A 10-mile stretch of the #Arizona border with #Mexico was left unmanned for two days!!! https://t.co/rAxMr095ez https://t.co/3fL4JlgU5Q,2016-04-04 17:23,TweetDeck,,,,False,,,,,0.0,0.0,10.0,8.0,"[Arizona, Mexico]",[https://goo.gl/7hOKBJ],,
1,668101583335387137,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Christian pastor in #Mexico is accused of raping two underage sisters https://t.co/fgE9Y1cwYD,2015-11-21 16:20,TweetDeck,,,,False,,,,,0.0,2.0,1.0,1.0,[Mexico],[],,
2,672763921518882817,2628066159,Houston Top News,HoustonTopNews,"Houston, TX","Houston top news and stories, powered 24/7",,22823,5483,2014-06-21,en,en,#Houston #Pemex station is a first outside #Mexico https://t.co/aH3EhIEO6F,2015-12-04 13:06,TweetDeck,,,,False,,,,,0.0,0.0,0.0,4.0,"[Houston, Pemex, Mexico]",[],,
3,613051384196239360,2547141851,Chicago Daily News,ChicagoDailyNew,"Chicago, IL","Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",,23595,13665,2014-05-14,en,en,"Body of a former #WhiteHouse #chef, missing after hiking in New #Mexico, found. via @chicagotribune http://t.co/YFQUT2Rwec",2015-06-22 18:30,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[WhiteHouse, chef, Mexico]",[],[7313362],
4,637632722106646528,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"no more words  ""To meet the US demand for heroin, #Mexico's farmers are enlisting children to harvest opium"" http://t.co/XhjGWZjTZS",2015-08-29 14:27,Twitter Web Client,,,,False,,,,,0.0,0.0,4.0,5.0,[Mexico],[],,
5,690310274100793344,4437444442,Pamela Kealer,PamelaKealer13,"Texas, USA",,,10226,10184,2015-12-10,en,en,It's time to build the wall! Multiple Pedophiles Caught Sneaking into #Texas from #Mexico https://t.co/UQFn5YHvOk https://t.co/o8dBCLNCMu,2016-01-21 23:09,Twitter Web Client,,,,False,,,,,0.0,0.0,2.0,9.0,"[Texas, Mexico]",[http://bit.ly/1PHKiQN],,
6,632211386542592000,2882037326,Dana Gold,DanaGeezus,USA,Producer,,24920,12434,2014-10-29,en,fr,#Mexico  Manuel Transmission http://t.co/tKlW1IVYRa,2015-08-14 15:25,TweetDeck,,,,False,,,,,0.0,1.0,6.0,5.0,[Mexico],[],,
7,658452049055608832,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,6 barrel shotgun found by #police in #Mexico . The owner is crazy as hell https://t.co/HZo7DBKota,2015-10-26 01:16,Twitter Web Client,,,,False,,,,,0.0,2.0,6.0,7.0,"[police, Mexico]",[],,
8,886547087579590657,2675966513,Dallas Top News,DallasTopNews,"Dallas, Texas","Dallas top news and stories, powered 24/7",,24696,7388,2014-07-05,en,en,The man accused of killing a #Dallas mother of three in 2015 has been arrested in #Mexico https://t.co/fggzrHPwvh,2017-07-16 11:24,TweetDeck,,,,False,,,,,0.0,0.0,1.0,1.0,"[Dallas, Mexico]",[],,
9,624939924169437184,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#Mexico poverty rate hit 46.2% last year as 2 million more join ranks of poor http://t.co/HjvPV6K64L,2015-07-25 13:51,TweetDeck,,,,False,,,,,0.0,1.0,0.0,2.0,[Mexico],[],,
