,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,737216744381648896,3899481526,Syria Today,todayinsyria,,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,https://t.co/mP25oJmJdz,35122,9500,2015-10-08,en,en,A disfiguring disease that had been in #Syria has now spread across the #MiddleEast https://t.co/Kf0MANC4HA https://t.co/AnePLppazq,2016-05-30 09:39,TweetDeck,,,,False,,,,,0.0,0.0,2.0,18.0,"[Syria, MiddleEast]",[http://www.dailymail.co.uk/news/article-3614446/Flesh-eating-tropical-disease-spread-Middle-East-millions-flee-Syria-scientists-warn-situation-like-Ebola.html],,
1,697075261641093123,3899481526,Syria Today,todayinsyria,,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,https://t.co/mP25oJmJdz,35122,9500,2015-10-08,en,en,A plan must be made for ‘life after #ISIS' in the #MiddleEast  https://t.co/CGVWaxqfdo https://t.co/Qd0sAYstsy,2016-02-09 15:11,TweetDeck,,,,False,,,,,0.0,1.0,3.0,6.0,"[ISIS, MiddleEast]",[http://www.independent.co.uk/voices/a-plan-must-be-made-for-life-after-isis-in-the-middle-east-a6860276.html],,
2,890915880959266816,2951464703,Political Observer,polit_observer,,Politics is a dirty business. It should stay that way,,13156,8253,2014-12-30,en,en,Child porn and rape are among the top trending porn terms in #MiddleEast https://t.co/Ng9JAOTqYh,2017-07-28 12:44,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,[MiddleEast],[],,
3,772171630457999360,2570631118,Politweecs,Politweecs,United States,Tweets and politics,,36094,20288,2014-05-29,en,en,Amnesty International condemns #Obama's unprecedented $110 billion arms deals with repressive #MiddleEast regimes https://t.co/NSdyFRFYMj,2016-09-03 20:37,TweetDeck,,,,False,,,,,5.0,7.0,43.0,91.0,"[Obama, MiddleEast]",[],,
4,798051611788668928,3899481526,Syria Today,todayinsyria,,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,https://t.co/mP25oJmJdz,35122,9500,2015-10-08,en,en,#China’s Interests in #Syria and the #MiddleEast  https://t.co/SrFXATJn36 https://t.co/4igypqhwWk,2016-11-14 06:35,TweetDeck,,,,False,,,,,1.0,0.0,6.0,17.0,"[China, Syria, MiddleEast]",[http://www.joshualandis.com/blog/chinas-interests-syria-middle-east-dr-christina-lin/],,
5,648661592993742848,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Iran's president blames U.S. for #MiddleEast violence http://t.co/t7g0Qk54x2,2015-09-29 00:52,Twitter Web Client,,,,False,,,,,0.0,2.0,2.0,0.0,[MiddleEast],[],,
6,703843845495062529,2484642526,Warfare Worldwide,WarfareWW,,Political & Military Analyst,,33375,7498,2014-04-14,en,en,The planned improvement of the Chabahar Port may expand #India's economic presence in #CentralAsia &amp; #MiddleEast https://t.co/uEp11gr8PD,2016-02-28 07:27,TweetDeck,,,,False,,,,,0.0,0.0,8.0,25.0,"[India, CentralAsia, MiddleEast]",[],,
7,684032712219488256,3899481526,Syria Today,todayinsyria,,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,https://t.co/mP25oJmJdz,35122,9500,2015-10-08,en,en,#Christians in the #MiddleEast https://t.co/JfIR52AbiE https://t.co/Ltx1Fv0ohK,2016-01-04 15:24,TweetDeck,,,,False,,,,,0.0,0.0,2.0,1.0,"[Christians, MiddleEast]",[http://www.economist.com/news/middle-east-and-africa/21684795-fed-up-and-fearful-christians-are-leaving-middle-east-and-then-there-were],,
8,893524937998311424,2951464703,Political Observer,polit_observer,,Politics is a dirty business. It should stay that way,,13156,8253,2014-12-30,en,en,Two Iranian Soccer players are condemned for playing against Israeli team #MiddleEast https://t.co/6fgDLHNRiE,2017-08-04 17:32,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,[MiddleEast],[],,
9,706922630763270144,3899481526,Syria Today,todayinsyria,,News about war in #Syria & #ISIS join us on telegram channel: https://t.co/mP25oJmJdz,https://t.co/mP25oJmJdz,35122,9500,2015-10-08,en,en,#Obama: #IS (s) actions in #MiddleEast are genocide https://t.co/3E8QwE5cMU https://t.co/q1tFuYLtfs,2016-03-07 19:21,TweetDeck,,,,False,,,,,0.0,0.0,3.0,8.0,"[Obama, IS, MiddleEast]",[http://www.cnsnews.com/commentary/ken-blackwell/mr-president-mr-secretary-isis-actions-middle-east-are-genocide-say-so],,
