,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,664585705188814848,3071479646,Baltimore Online,Baltimore0nline,"Baltimore, MD","Breaking news, weather, traffic and more for Baltimore. DM us anytime. RTs not endorsements",,8056,7234,2015-03-10,en,en,Veterans Elementary School honors local troops  #military,2015-11-11 23:29,twitterfeed,,,,False,,,,,0.0,0.0,0.0,0.0,[military],[],,
1,661232596928495616,3071479646,Baltimore Online,Baltimore0nline,"Baltimore, MD","Breaking news, weather, traffic and more for Baltimore. DM us anytime. RTs not endorsements",,8056,7234,2015-03-10,en,en,Midshipmen create 'Naptown Funk' video  #military,2015-11-02 17:25,twitterfeed,,,,False,,,,,0.0,0.0,1.0,0.0,[military],[],,
2,672960874399686656,3071479646,Baltimore Online,Baltimore0nline,"Baltimore, MD","Breaking news, weather, traffic and more for Baltimore. DM us anytime. RTs not endorsements",,8056,7234,2015-03-10,en,en,White House taking look at women for military draft  #military,2015-12-05 02:09,twitterfeed,,,,False,,,,,0.0,0.0,1.0,4.0,[military],[],,
3,736569203814203393,1718000594,Prince Booth,Booth_Prince,Chicago,"Hey, man ⌐╦╦═─",,5323,4171,2013-09-01,en,en,"RT @Sidalceau: #WeHonorOurVeteransBy voting for intelligence, foresight and good judgment. #VoteBernie #Vets #Veterans #Military https://t.…",2016-05-28 14:45,Twitter Web Client,,,,True,711057600746487808,7.36549612920574e+17,,,0.0,0.0,0.0,0.0,"[WeHonorOurVeteransBy, VoteBernie, Vets, Veterans, Military]",[],[711057600746487808],
4,677577838598336513,3071479646,Baltimore Online,Baltimore0nline,"Baltimore, MD","Breaking news, weather, traffic and more for Baltimore. DM us anytime. RTs not endorsements",,8056,7234,2015-03-10,en,en,Maryland soldiers catch robber in act  #military,2015-12-17 19:55,twitterfeed,,,,False,,,,,0.0,0.0,3.0,3.0,[military],[],,
5,700466747233546240,2743327187,Washington Online,WashingtOnline,"Washington, D.C.","Breaking news, weather, traffic and more for Washington. DM us anytime. RTs not endorsements",,40762,14404,2014-08-15,en,en,#ISIS-related threat on social media shuts down rural #military school https://t.co/HutHECOjvI https://t.co/j36cAXq5rR,2016-02-18 23:47,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,4.0,"[ISIS, military]",[https://www.washingtonpost.com/local/education/isis-related-threat-on-social-media-shuts-down-rural-military-school/2016/02/18/5ebde938-d677-11e5-b195-2e29a4e13425_story.html],,
6,736589728825413632,2569229674,Lora Green,LoraGreeen,New - York,Be the change that you wish to see in the world,,7446,7377,2014-05-28,en,en,"RT @Sidalceau: #WeHonorOurVeteransBy voting for intelligence, foresight and good judgment. #VoteBernie #Vets #Veterans #Military https://t.…",2016-05-28 16:07,Twitter Web Client,,,,True,711057600746487808,7.36549612920574e+17,,,0.0,0.0,0.0,0.0,"[WeHonorOurVeteransBy, VoteBernie, Vets, Veterans, Military]",[],[711057600746487808],
7,670321367489769473,3071479646,Baltimore Online,Baltimore0nline,"Baltimore, MD","Breaking news, weather, traffic and more for Baltimore. DM us anytime. RTs not endorsements",,8056,7234,2015-03-10,en,en,Blue Angels return to Baltimore during fleet week  #military,2015-11-27 19:20,twitterfeed,,,,False,,,,,0.0,0.0,0.0,0.0,[military],[],,
8,661597787369287680,3071479646,Baltimore Online,Baltimore0nline,"Baltimore, MD","Breaking news, weather, traffic and more for Baltimore. DM us anytime. RTs not endorsements",,8056,7234,2015-03-10,en,en,Midshipmen create 'Naptown Funk' video  #military,2015-11-03 17:36,twitterfeed,,,,False,,,,,0.0,0.0,0.0,0.0,[military],[],,
9,663824425058328576,3071479646,Baltimore Online,Baltimore0nline,"Baltimore, MD","Breaking news, weather, traffic and more for Baltimore. DM us anytime. RTs not endorsements",,8056,7234,2015-03-10,en,en,Catch A Lift helps veterans work out PTSD  #military,2015-11-09 21:04,twitterfeed,,,,False,,,,,0.0,0.0,0.0,0.0,[military],[],,
10,659890895098023936,3071479646,Baltimore Online,Baltimore0nline,"Baltimore, MD","Breaking news, weather, traffic and more for Baltimore. DM us anytime. RTs not endorsements",,8056,7234,2015-03-10,en,en,Police fire shotguns to deflate wayward blimp  #military,2015-10-30 00:33,twitterfeed,,,,False,,,,,0.0,0.0,1.0,0.0,[military],[],,
