,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,682958094784151552,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,und,#ImpeachObama #Murica https://t.co/Hg9EUSt0h1,2016-01-01 16:14,Twitter Web Client,,,,False,,,,,0.0,0.0,26.0,33.0,"[ImpeachObama, Murica]",[],,
1,637280559710887936,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Because #Murica http://t.co/Pk49KtyYMN,2015-08-28 15:08,Twitter Web Client,,,,False,,,,,0.0,1.0,2.0,0.0,[Murica],[],,
2,684130883008335872,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @0la_WALE: Ctfu #Murica https://t.co/T8S8O8SaMN,2016-01-04 21:54,Twitter Web Client,,,,True,754512469,6.841300209404641e+17,,,0.0,0.0,0.0,0.0,[Murica],[https://twitter.com/gloed_up/status/684049529843396608],[754512469],
3,701068146531299328,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Our standard for heroism dropped a shitload since Normandy and Iwo Jima #Murica https://t.co/aJSA0p4NAf,2016-02-20 15:37,Twitter Web Client,,,,False,,,,,0.0,1.0,6.0,10.0,[Murica],[],,
4,636880277571158016,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,#NationalBurgerDay shows everything about #Murica http://t.co/r2gWLrixCH,2015-08-27 12:37,Twitter Web Client,,,,False,,,,,0.0,2.0,6.0,5.0,"[NationalBurgerDay, Murica]",[],,
5,646022108552663040,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,American Beauty #WakeUpAmerica #Murica http://t.co/OaVC7TxDrL,2015-09-21 18:04,TweetDeck,,,,False,,,,,0.0,3.0,11.0,5.0,"[WakeUpAmerica, Murica]",[],,
6,654775045101715457,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,und,#Murica http://t.co/mNDoakxmrX,2015-10-15 21:45,TweetDeck,,,,False,,,,,0.0,2.0,2.0,2.0,[Murica],[],,
7,774212821017997312,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"Well, using national tragedy to increase sellings is so #Murica https://t.co/G2vJCS9hXU",2016-09-09 11:48,TweetDeck,,,,False,,,,,9.0,18.0,32.0,27.0,[Murica],[],,
8,690822880603553793,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,@larryelder lol  Bernie and his supporters are creators of #Murica - the worst part of a great country,2016-01-23 09:06,Twitter Web Client,6.90821912478376e+17,195271137,,False,,,,,0.0,0.0,1.0,0.0,[Murica],[],[195271137],
9,609815510578917376,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,und,#Murica http://t.co/Pgtonev2Po,2015-06-13 20:12,TweetDeck,,,,False,,,,,0.0,0.0,1.0,0.0,[Murica],[],,
10,647483223417618434,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,und,😌 #murica http://t.co/zmjLzbMW0b,2015-09-25 18:50,TweetDeck,,,,False,,,,,0.0,0.0,3.0,1.0,[murica],[],,
