,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,652112767860785153,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,Just resist all of dis shit. We stand w/ them  They are #NotForgotten and we will #NeverForget https://t.co/kIVBRohc2P,2015-10-08 13:26,Twitter Web Client,,,6.521011481790423e+17,False,,,,,0.0,0.0,1.0,1.0,"[NotForgotten, NeverForget]",[https://twitter.com/DanteB4u/status/652101148179042305],,
1,774986645732864002,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,It unified us as a country and showed our charitable instincts and reminded us of what we stand for #NeverForget 🇺🇸 https://t.co/nYmQZBij7N,2016-09-11 15:03,TweetDeck,,,,False,,,,,2.0,0.0,68.0,36.0,[NeverForget],[],,
2,791434741992022016,4271904983,Heart Of Texas,ItsTimeToSecede,All Over Texas,TX patriots united for real action. GET READY TO SECEDE! #2A  #Texit #TexasSecede #Texodus,https://t.co/IKv4rYSgsq,5518,6052,2015-11-25,en,en,Hitlery pressured Deputy White House Counsel Vince Foster and Webb Hubbell to use military force in resolving the Waco standoff #NeverForget https://t.co/F3dxdnyoLS,2016-10-27 00:22,TweetDeck,,,,False,,,,,0.0,2.0,10.0,21.0,[NeverForget],[],,
3,774991949312897026,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,New York City firefighters work after the terrorist attacks #NeverForget 🇺🇸 https://t.co/FtraxjbCkp,2016-09-11 15:24,TweetDeck,,,,False,,,,,3.0,4.0,55.0,37.0,[NeverForget],[],,
4,775004994864943104,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,One of the worst days in America’s history saw some of the bravest acts in Americans’ history #NeverForget 🇺🇸 https://t.co/LIFI3BOBo4,2016-09-11 16:16,TweetDeck,,,,False,,,,,3.0,3.0,65.0,52.0,[NeverForget],[],,
5,775054939211042816,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,"He was a husband and father, an Air Force veteran, and a 10-year veteran of the Foreign Service. #NeverForget https://t.co/bf8iXkVHXa",2016-09-11 19:34,Twitter Web Client,,,,False,,,,,5.0,2.0,77.0,73.0,[NeverForget],[],,
6,775030373231259648,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,#NeverForget the biggest and worst islamic terrorist attack. We live so this would never happen again https://t.co/vYAmAe1GYX,2016-09-11 17:56,TweetDeck,,,,False,,,,,3.0,9.0,92.0,97.0,[NeverForget],[],,
7,775041560765399040,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,Hillary Clinton is done. They should replace her.. #HillaryCollapses  #HillaryHealth  #NeverForget https://t.co/2ccjSBx84h,2016-09-11 18:41,Twitter Web Client,,,,False,,,,,50.0,44.0,448.0,446.0,"[HillaryCollapses, HillaryHealth, NeverForget]",[],,
8,596715356892213250,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,und,@ndarmour @emilygbrown #NeverForget,2015-05-08 16:36,Twitter Web Client,5.967146372546028e+17,180587023,,False,,,,,0.0,1.0,0.0,0.0,[NeverForget],[],"[180587023, 394124883]",
9,774944391999918080,2526297190,АгитПолк,AgitPolk,,"Лучшие твиты и акции от ""АгитПолка"" https://t.co/VFPSbsVQ3o",https://t.co/6FT01rfaNi,10152,1447,2014-05-03,ru,ru,RT @zubovnik: Американские супермаркеты вспоминают события 15-летней давности #11сентября #NeverForget https://t.co/k4lJUNrVM7,2016-09-11 12:15,Twitter Web Client,,,,True,2589513234,7.749281807423242e+17,,,0.0,0.0,0.0,0.0,"[11сентября, NeverForget]",[],[2589513234],
