,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,798656906092892160,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,und,😂😂😂 #NotMyPresident https://t.co/YoOi5m9ccx,2016-11-15 22:40,Twitter Web Client,,,,False,,,,,31.0,39.0,47.0,38.0,[NotMyPresident],[],,
1,799739406802239489,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,".@KellyannePolls: ""Folks, the campaign is over. He is your president, even if you have '#NotMyPresident.'"" https://t.co/ZTgwFjMaqh",2016-11-18 22:21,Twitter Web Client,,,,False,,,,,15.0,13.0,352.0,293.0,[NotMyPresident],[],[471672239],
2,800045345203888128,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,The worst case scenario we all knew was coming when trump got elected  #NotMyPresident https://t.co/bbPocg2SXz,2016-11-19 18:37,Twitter Web Client,,,,False,,,,,13.0,9.0,98.0,96.0,[NotMyPresident],[],,
3,798289342196162560,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,ht,RT @gloed_up: Relevant #NotMyPresident https://t.co/6yclv6AgUM,2016-11-14 22:19,Twitter Web Client,,,,True,3312143142,7.982885894738739e+17,,,0.0,0.0,0.0,0.0,[NotMyPresident],[],[3312143142],
4,796323666757881856,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,Stop undermining our democracy using this #NotMyPresident hashtag! 😂 https://t.co/E6KCPmZSr4,2016-11-09 12:08,TweetDeck,,,,False,,,,,5.0,13.0,147.0,55.0,[NotMyPresident],[],,
5,797949761693290496,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,Your vote was a hate crime! #NotMyPresident https://t.co/YCq3dmLhlq,2016-11-13 23:50,Twitter Web Client,,,,False,,,,,26.0,86.0,383.0,348.0,[NotMyPresident],[],,
6,822516651463569408,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,Domestic terrorists are smashing windows in Washington right now! This is Obama's legacy. #Inauguration #NotMyPresident https://t.co/BwqqDhtMTn,2017-01-20 18:50,Twitter Web Client,,,,False,,,,,283.0,335.0,1118.0,1403.0,"[Inauguration, NotMyPresident]",[],,
7,822519837029060608,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,Video of the day: liberal crybaby screams in agony as Trump sworn in.   #Inauguration #NotMyPresident https://t.co/LIlSa85OdC,2017-01-20 19:03,Twitter Web Client,,,,False,,,,,327.0,285.0,973.0,641.0,"[Inauguration, NotMyPresident]",[],,
8,798292024164306944,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,ht,RT @gloed_up: Relevant #NotMyPresident https://t.co/6yclv6AgUM,2016-11-14 22:30,Twitter Web Client,,,,True,3312143142,7.982885894738739e+17,,,0.0,0.0,0.0,0.0,[NotMyPresident],[],[3312143142],
9,797955692661325824,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,RT @aprilbaxter: Yeeeeesssss!!!! #NotMyPresident https://t.co/lDxv9UsjFg,2016-11-14 00:13,Twitter Web Client,,,7.979468803070157e+17,True,193178033,7.979490548817756e+17,,,0.0,0.0,0.0,0.0,[NotMyPresident],[https://twitter.com/gloed_up/status/797946880307015680],[193178033],
