,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,627770700346953728,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#Tragedy strikes as unknown #assailant destroys hitchhiking robot in #Philadelphia http://t.co/FOq4JelaDX,2015-08-02 09:19,Twitter Web Client,,,,False,,,,,0.0,1.0,1.0,1.0,"[Tragedy, assailant, Philadelphia]",[],,
1,879323614440374276,2620614029,Philadelphia Online,PhiladelphiaON,"Philadelphia, PA","Breaking news, weather, traffic and more for Philadelphia and Pennsylvania. DM us anytime. RTs not endorsements",,18011,8888,2014-06-18,en,en,Man shot dead during drag race in SW #Philadelphia https://t.co/1KpNyLwLr9,2017-06-26 13:01,TweetDeck,,,,False,,,,,1.0,0.0,0.0,0.0,[Philadelphia],[],,
2,854383145529069569,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,RT @TheFoundingSon: #BREAKING  Facebook live killer Steve #Stephens allegedly shot dead in #Philadelphia https://t.co/jQ0YMOx13X,2017-04-18 17:16,Twitter Web Client,,,,True,4508630900,8.543135059688407e+17,,,0.0,0.0,0.0,0.0,"[BREAKING, Stephens, Philadelphia]",[],[4508630900],
3,892340131910344706,2620614029,Philadelphia Online,PhiladelphiaON,"Philadelphia, PA","Breaking news, weather, traffic and more for Philadelphia and Pennsylvania. DM us anytime. RTs not endorsements",,18011,8888,2014-06-18,en,en,‘Homeless Jesus’ sculpture now on display in #Philadelphia https://t.co/WijeAJXQfo,2017-08-01 11:04,TweetDeck,,,,False,,,,,0.0,0.0,2.0,1.0,[Philadelphia],[],,
4,690681826860400640,4437444442,Pamela Kealer,PamelaKealer13,"Texas, USA",,,10226,10184,2015-12-10,en,en,"A #Philadelphia policeman was severely wounded by a man who was ""following Allah""  https://t.co/vFcsNuhYVA https://t.co/d5MuOQAwow",2016-01-22 23:45,Twitter Web Client,,,,False,,,,,0.0,0.0,10.0,18.0,[Philadelphia],[http://fxn.ws/1JqfBD5],,
5,658085623480193024,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Escaped South Jersey prisoner captured in #Philadelphia according to sources https://t.co/ErStzSNQFk,2015-10-25 01:00,TweetDeck,,,,False,,,,,0.0,0.0,2.0,0.0,[Philadelphia],[],,
6,886908090855149568,2620614029,Philadelphia Online,PhiladelphiaON,"Philadelphia, PA","Breaking news, weather, traffic and more for Philadelphia and Pennsylvania. DM us anytime. RTs not endorsements",,18011,8888,2014-06-18,en,en,"Gunfire throughout #Philadelphia leaves 4 Dead, 5 Injured https://t.co/wVsUKzM7bt",2017-07-17 11:19,TweetDeck,,,,False,,,,,0.0,0.0,0.0,1.0,[Philadelphia],[],,
7,607615269754650624,2620614029,Philadelphia Online,PhiladelphiaON,"Philadelphia, PA","Breaking news, weather, traffic and more for Philadelphia and Pennsylvania. DM us anytime. RTs not endorsements",,18011,8888,2014-06-18,en,en,#Painting #underway on new mural to celebrate #Pope’s visit to #Philadelphia http://t.co/2HT6vBE5ZL,2015-06-07 18:29,TweetDeck,,,,False,,,,,0.0,0.0,0.0,1.0,"[Painting, underway, Pope, Philadelphia]",[],,
8,894914595336409089,2620614029,Philadelphia Online,PhiladelphiaON,"Philadelphia, PA","Breaking news, weather, traffic and more for Philadelphia and Pennsylvania. DM us anytime. RTs not endorsements",,18011,8888,2014-06-18,en,en,#Philadelphia aims to become litter-free by 2035. The goal is not only zero litter but zero waste as well https://t.co/18fQ0lx5IU,2017-08-08 13:34,TweetDeck,,,,False,,,,,1.0,0.0,3.0,1.0,[Philadelphia],[],,
9,606812748509384704,2620614029,Philadelphia Online,PhiladelphiaON,"Philadelphia, PA","Breaking news, weather, traffic and more for Philadelphia and Pennsylvania. DM us anytime. RTs not endorsements",,18011,8888,2014-06-18,en,en,Special #Olympics torch passes through #Philadelphia http://t.co/BjXjN9EqxC,2015-06-05 13:20,TweetDeck,,,,False,,,,,0.0,0.0,0.0,1.0,"[Olympics, Philadelphia]",[],,
