,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,708109210769174529,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Peter Liang didn’t realize the man had been shot - lawyer  https://t.co/qmRHNZ0lAk #BlackLivesMatter #policestate https://t.co/bUC3zygGIn,2016-03-11 01:56,TweetDeck,,,,False,,,,,0.0,1.0,3.0,9.0,"[BlackLivesMatter, policestate]",[https://goo.gl/1qlByJ],,
1,708118754018795521,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Wow! NYPD cop shot another cop during a drug bust https://t.co/VptY4lCicf #policestate https://t.co/ntsyHExGyR,2016-03-11 02:34,TweetDeck,,,,False,,,,,0.0,0.0,8.0,26.0,[policestate],[https://goo.gl/JQ5v6V],,
2,701579989704118272,4208754922,People For Justice!,MissouriNewsUS,,#NeverHillary,,5401,5939,2015-11-17,en,en,Cops Caught Forcing Scientists to Falsify DNA Tests To Get More Prosecutions  https://t.co/cgof1Cg2Js #PoliceState https://t.co/GCMmFM4DUt,2016-02-22 01:31,Twitter Web Client,,,,False,,,,,0.0,2.0,11.0,30.0,[PoliceState],[http://bit.ly/21jyxYF],,
3,720273391396061184,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,😪 #policestate  These words. https://t.co/RGnQTwck2x,2016-04-13 15:32,Twitter Web Client,,,,False,,,,,0.0,1.0,19.0,22.0,[policestate],[],,
4,704070128158294016,4208754922,People For Justice!,MissouriNewsUS,,#NeverHillary,,5401,5939,2015-11-17,en,en,Can you imagine? #policestate https://t.co/gsheS78uEz,2016-02-28 22:26,Twitter Web Client,,,7.032494329810862e+17,False,,,,,0.0,0.0,0.0,1.0,[policestate],[https://twitter.com/PolicePoliceACP/status/703249432981086208],,
5,777283767220244484,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,"RT @BleepThePolice: If you're wondering what a ""police state"" is ... #policebrutality #policestate https://t.co/9LGxcm9zsf",2016-09-17 23:11,Twitter Web Client,,,,True,1687183549,7.772756854759137e+17,,,0.0,0.0,0.0,0.0,"[policebrutality, policestate]",[],[1687183549],
6,738823460571467776,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @ReverendWrath: evil #policestate https://t.co/AlalCPUvE1,2016-06-03 20:03,Twitter Web Client,,,7.385480385374986e+17,True,2231154998,7.38553477949952e+17,,,0.0,0.0,0.0,0.0,[policestate],[https://twitter.com/BleepThePolice/status/738548038537498624],[2231154998],
7,709013885752205312,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,"@oefoif0506 military is not the same as police and should never be, we don't live in a #policestate. At least yet",2016-03-13 13:50,Twitter Web Client,7.090133244536422e+17,3160139748,,False,,,,,0.0,1.0,0.0,2.0,[policestate],[],[3160139748],
8,678335649439682560,4301962823,Black News,BlackNewsOutlet,Black America,Freedom is never given; it is won. #BlackLivesMatter,,40458,29659,2015-11-28,en,en,Officers in Linwood Lambert Jr. Tasing Death Purposely Misled Investigators https://t.co/YdaIi1AKxp #Policestate https://t.co/DQtivGzSMy,2015-12-19 22:06,TweetDeck,,,,False,,,,,0.0,0.0,2.0,6.0,[Policestate],[http://www.copblock.org/149755/officers-linwood-lambert-jr-tasing-death-mislead-investigators/],,
9,712118626745081857,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,Baltimore’s War On Drugs Destroyed Resident’s Life https://t.co/vwy7Za70uh #BlackMattersUS #policestate https://t.co/P6HOKJTRkv,2016-03-22 03:28,TweetDeck,,,,False,,,,,0.0,0.0,9.0,10.0,"[BlackMattersUS, policestate]",[https://goo.gl/FUbBmR],,
