,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,653563664213999617,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,#RIP #TamirRice #PoliceBrutality #cops #policeViolence https://t.co/GSDfcYzCeF,2015-10-12 13:31,Twitter Web Client,,,6.535465713726218e+17,False,,,,,0.0,0.0,0.0,0.0,"[RIP, TamirRice, PoliceBrutality, cops, policeViolence]",[https://twitter.com/marclamonthill/status/653546571372621824],,
1,637531785614614533,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,#cops #PoliceBrutality #policeViolence #GIF #pic #blacklivesmatter #blacktw #BlackPeople #policeviolence http://t.co/tB6lM54hV2,2015-08-29 07:46,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[cops, PoliceBrutality, policeViolence, GIF, pic, blacklivesmatter, blacktw, BlackPeople, policeviolence]",[],,
2,697089978103373825,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,"A #cop thought a child had #pot, so he fired 7 times in his back. No other options, indeed #PoliceViolence https://t.co/bpTr4dvFkx",2016-02-09 16:09,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,10.0,"[cop, pot, PoliceViolence]",[],,
3,698416442857930753,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,"#Cop brutally beats, kicks and stomps on unarmed man who surrendered. A common thing nowadays #BTP #PoliceViolence https://t.co/mKuSE0S0IA",2016-02-13 08:00,Twitter Web Client,,,,False,,,,,0.0,1.0,1.0,5.0,"[Cop, BTP, PoliceViolence]",[https://www.youtube.com/watch?v=lAlJ_4Op300],,
4,702836445690527745,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,"Another cop, Benton County deputy, arrested on charges of sexually assaulting a minor #PoliceViolence https://t.co/6fjp35ZG9C",2016-02-25 12:44,TweetDeck,,,,False,,,,,0.0,0.0,0.0,7.0,[PoliceViolence],[],,
5,698558519625187328,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,It would be funny. If it wasn't so true #ACAB #BlackPeople #PoliceViolence https://t.co/kjwdZeeiRA,2016-02-13 17:25,TweetDeck,,,,False,,,,,0.0,0.0,7.0,7.0,"[ACAB, BlackPeople, PoliceViolence]",[],,
6,633709200019886081,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"#APD Officer Threatens People With Taser–Only He Was Off Duty, And Not In #Atlanta. #policebrutality #policeviolence http://t.co/WjPNghYUTE",2015-08-18 18:37,TweetDeck,,,,False,,,,,0.0,0.0,0.0,0.0,"[APD, Atlanta, policebrutality, policeviolence]",[],,
7,635466567174586369,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,#PAYDAY! a little jelous of this woman. with a good lawyer she's gonna be a millionaire #PoliceAbuse #PoliceViolence http://t.co/nLwb7og0dF,2015-08-23 15:00,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[PAYDAY, PoliceAbuse, PoliceViolence]",[],,
8,633730145107361792,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,These babies.😿😿😿😿😿😿😿😿 #PoliceBrutality #BlackLivesMatter #Blackcommunity #blackpeopletwitter #policeviolence http://t.co/bRFr3V8N1L,2015-08-18 20:00,TweetDeck,,,,False,,,,,0.0,0.0,0.0,2.0,"[PoliceBrutality, BlackLivesMatter, Blackcommunity, blackpeopletwitter, policeviolence]",[],,
9,650961709931212801,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,#cops “routinely lie to serve their own interests”  #policebrutality #policeViolence http://t.co/C4KhAYRWz3,2015-10-05 09:12,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,"[cops, policebrutality, policeViolence]",[],,
