,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,764178696706068480,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,cy,RT @theimanihh: Rae'Lynn Thomas #SayHerName https://t.co/0ch7vQNqU4,2016-08-12 19:16,Twitter Web Client,,,7.641668012028027e+17,True,168599279,7.64177913054892e+17,,,0.0,0.0,0.0,0.0,[SayHerName],[https://twitter.com/bleepthepolice/status/764166801202802688],[168599279],
1,718817347436326915,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,Police said Sandra Bland died of a suicide while in police custody — her family and friends disagree #SayHerName https://t.co/xjFWJvTCz0,2016-04-09 15:06,Twitter Web Client,,,,False,,,,,0.0,2.0,37.0,45.0,[SayHerName],[],,
2,755046720279613440,1718000594,Prince Booth,Booth_Prince,Chicago,"Hey, man ⌐╦╦═─",,5323,4171,2013-09-01,en,en,#PoliceAMovie The Gone Girl #SayHerName https://t.co/ZQnm1F3Vfr,2016-07-18 14:29,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,1.0,"[PoliceAMovie, SayHerName]",[],,
3,736097604203728896,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,@MaureenOakes2 Death penalty to these jerks #SayHerName,2016-05-27 07:31,Twitter Web Client,7.359758640142418e+17,537437392,,False,,,,,0.0,1.0,1.0,0.0,[SayHerName],[],[537437392],
4,734116837076635651,3978316814,BlackMatters,blackmattersus,,"Fast-growing black community. Latest news and everyday updates, opinions on today’s racial justice issues.#BlackMattersUS #BLM",https://t.co/oBiVuggezq,20019,14112,2015-10-22,en,en,@GetJETmag our team and family of #AiyanaJones gathered to honor the memory of victims of cops violence #SayHerName https://t.co/IdqB9COuAX,2016-05-21 20:21,Twitter Web Client,,34049155,,False,,,,,0.0,0.0,1.0,1.0,"[AiyanaJones, SayHerName]",[],[34049155],
5,790359092908924929,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,und,RT @gangewifre: #SayHerName https://t.co/Lytezi1eMv,2016-10-24 01:07,Twitter Web Client,,,7.903242216710513e+17,True,971363280,7.903531824423977e+17,,,0.0,0.0,0.0,0.0,[SayHerName],[https://twitter.com/BleepThePolice/status/790324221671051264],[971363280],
6,718814905206374400,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,RT @gloed_up: Bernie Sanders met with Sandra Bland’s mother in a chance encounter last week  It deserves respect. #SayHerName https://t.co/…,2016-04-09 14:56,Twitter Web Client,,,,True,3312143142,7.188036582304891e+17,,,0.0,0.0,0.0,0.0,[SayHerName],[],[3312143142],
7,794653140889071616,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,"#MichelleShirley, black woman killed by police in California, was open about bipolarism #StopKillingUs #SayHerName https://t.co/4OWL35rlpp",2016-11-04 21:30,Twitter Web Client,,,,False,,,,,5.0,1.0,140.0,242.0,"[MichelleShirley, StopKillingUs, SayHerName]",[],,
8,726418427036880896,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,"Sandra Bland’s Mother: ‘Step Up, Or Shut Up’ https://t.co/TI8NpfgDuA #SayHerName https://t.co/kqwRWclAUK",2016-04-30 14:30,TweetDeck,,,,False,,,,,0.0,0.0,7.0,5.0,[SayHerName],[http://bit.ly/1g3AhR6],,
9,747793249864024065,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,und,RT @jedaunangelac: #SayHerName  https://t.co/hLQfX1ykhq,2016-06-28 14:06,Twitter Web Client,,,7.476671120853606e+17,True,3687554299,7.477899708871926e+17,,,0.0,0.0,0.0,0.0,[SayHerName],[https://twitter.com/gloed_up/status/747667112085360642],[3687554299],
10,760877997532393472,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"RT @j7vii: #KorrynGaines traffic tickets, staring, armed, un-armed..LEO Death Squads have their orders/their quota #SayHerName  https://t.c…",2016-08-03 16:40,Twitter Web Client,,,7.608274449159496e+17,True,57445987,7.608778649128428e+17,,,0.0,0.0,0.0,0.0,"[KorrynGaines, SayHerName]",[https://twitter.com/gloed_up/status/760827444915949569],[57445987],
11,720408781486620673,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,Problems Identified With Texas Jail Where Sandra Bland Died https://t.co/3MBV9gRSzQ #sayhername https://t.co/DWkclu3g25,2016-04-14 00:30,TweetDeck,,,,False,,,,,0.0,0.0,5.0,8.0,[sayhername],[http://bit.ly/1MurKsh],,
12,842880576172445698,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,en,#SayHerName! Share this story! https://t.co/Sr65igJQFb,2017-03-17 23:29,Twitter Web Client,,,,False,,,,,58.0,14.0,3136.0,4654.0,[SayHerName],[],,
13,761683986062020608,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,und,#BlackLivesMatter #BlackToLive #SayHerName https://t.co/aamG8p2Tcz,2016-08-05 22:03,TweetDeck,,,,False,,,,,2.0,0.0,28.0,35.0,"[BlackLivesMatter, BlackToLive, SayHerName]",[],,
14,763109831662268416,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @TrayneshaCole: Altars for #KorrynGaines and other black women killed by police are springing up across the country #Sayhername https://…,2016-08-09 20:28,Twitter Web Client,,,,True,4859142199,7.63109055816663e+17,,,0.0,0.0,0.0,0.0,"[KorrynGaines, Sayhername]",[],[4859142199],
15,762354884398022656,4840551713,Black To Live,BlackToLive,,We want equality and justice! And we need you to help us. Join our team and write your own articles! DM us or send an email: BlackToLive@gmail.com,https://t.co/fqaN9czsvb,29472,12379,2016-01-24,en,en,After Sandra Bland’s Death Guards Who Falsified Jail Logs Got Other Jobs #SayHerName https://t.co/t27iYixJ8G https://t.co/epZgRhejMv,2016-08-07 18:29,TweetDeck,,,,False,,,,,6.0,4.0,21.0,55.0,[SayHerName],[http://bit.ly/2b4u0tW],,
16,733103463949697024,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,en,#SayHerName because Black women are the fastest growing population in the prison industrial complex https://t.co/SGVn7NCuGs,2016-05-19 01:14,Twitter Web Client,,,,False,,,,,0.0,3.0,163.0,284.0,[SayHerName],[],,
17,704712980529815553,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,und,RT @EbonyBakes: #SayHerName  https://t.co/WyCtLVatAL,2016-03-01 17:00,Twitter Web Client,,,,True,2493560841,7.047051914514309e+17,,,0.0,0.0,0.0,0.0,[SayHerName],[https://twitter.com/BleepThePolice/status/704695708012511233],[2493560841],
18,634368104928161792,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"RT @BYP_100: ""...so we gon' fight, all day and night, until we get it right."" #FireServinNow  Our #SayHerName action is today! http://t.co/…",2015-08-20 14:15,Twitter Web Client,,,,True,1604954443,6.343660270029455e+17,,,0.0,0.0,0.0,0.0,"[FireServinNow, SayHerName]",[],[1604954443],
19,760832835955466240,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @TrayneshaCole: 23-year-old Korryn Gaines was killed by the police and her 5-year-old son shot yesterday #SayHerName https://t.co/WVkPzc…,2016-08-03 13:40,Twitter Web Client,,,,True,4859142199,7.605258358245745e+17,,,0.0,0.0,0.0,0.0,[SayHerName],[],[4859142199],
20,717598260760748032,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,RT @TrayneshaCole: Sandra Bland isn’t trending anymore… Don’t forget her story #SayHerName,2016-04-06 06:22,Twitter Web Client,,,,True,4859142199,7.173652634490798e+17,,,0.0,0.0,0.0,0.0,[SayHerName],[],[4859142199],
