,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,704775468717834242,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,"It's a part of our constitution, buds. Don't be Obamas, don't neglect it. #southunited #2a #secondamendment https://t.co/P0FqjZ6QYB",2016-03-01 21:09,Twitter Web Client,,,,False,,,,,0.0,2.0,6.0,4.0,"[southunited, 2a, secondamendment]",[],,
1,694952397584502784,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,It's our constitutional right. Should we violate the constitution like Obama does? #southunited #2a #secondamendment https://t.co/MbqdubUUpW,2016-02-03 18:35,Twitter Web Client,,,,False,,,,,0.0,1.0,7.0,7.0,"[southunited, 2a, secondamendment]",[],,
2,668932066302537729,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,und,#BeingPatriotic #2a #SecondAmendment https://t.co/mSGzz7IJwa,2015-11-23 23:20,TweetDeck,,,,False,,,,,0.0,0.0,5.0,1.0,"[BeingPatriotic, 2a, SecondAmendment]",[],,
3,695027413726658561,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,Defend the constitution! #DefendTheSecond Amendment! Never abandon your guns! #2a #secondamendment https://t.co/9fK2GpmTAv,2016-02-03 23:33,Twitter Web Client,,,,False,,,,,0.0,1.0,7.0,8.0,"[DefendTheSecond, 2a, secondamendment]",[],,
4,755165142673829889,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,en,Teen knocks on the wrong front door &amp; gets shot to death by a lover of the #SecondAmendment https://t.co/vF2CgpUD2J https://t.co/QzIcHpEVll,2016-07-18 22:19,Twitter Web Client,,,,False,,,,,5.0,1.0,21.0,62.0,[SecondAmendment],[http://www.rawstory.com/2016/07/teen-knocks-on-the-wrong-front-door-and-gets-shot-to-death-by-a-lover-of-the-second-amendment/],,
5,670627233644601345,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Captain Picard explains the effects of #GunControl #2A #SecondAmendment https://t.co/PRq3KFnriQ,2015-11-28 15:36,Twitter Web Client,,,,False,,,,,0.0,0.0,3.0,2.0,"[GunControl, 2A, SecondAmendment]",[],,
6,701915130410491905,4272870988,Pamela Moore,Pamela_Moore13,"Texas, USA",Southern. Conservative. Pro God. Anti Racism,,72121,42080,2015-11-25,en,en,"I won't violate the right given by our founding fathers, will y'all? #southunited #2a #secondamendment https://t.co/dBDOnMIZox",2016-02-22 23:43,Twitter Web Client,,,,False,,,,,0.0,1.0,9.0,7.0,"[southunited, 2a, secondamendment]",[],,
7,695282597379702785,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,Obama edits the #SecondAmendment https://t.co/ADrEIcir5F,2016-02-04 16:27,Twitter Web Client,,,,False,,,,,0.0,0.0,6.0,9.0,[SecondAmendment],[],,
8,702512860467953665,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,A phone call to the police is not enough for me. I support the #SecondAmendment to refuse be a victim of crime. https://t.co/GPsVXTJGO7,2016-02-24 15:18,Twitter Web Client,,,,False,,,,,0.0,0.0,6.0,6.0,[SecondAmendment],[],,
9,680464940088463360,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,"#GunControl for dummies. Yeah, that's how it works! #SecondAmendment https://t.co/nG6wQqWiF3",2015-12-25 19:07,Twitter Web Client,,,,False,,,,,0.0,3.0,17.0,16.0,"[GunControl, SecondAmendment]",[],,
10,673270653517103104,4332740714,Gunslinger Girl,USA_Gunslinger,"Wisconsin, USA","Truth is strong, and sometime or other will prevail!",,44895,45382,2015-11-23,en,en,That's what I'm talking about. From the article tweeted earlier today #wisconsin4guns #guncontrol #SecondAmendment https://t.co/kaOnH7DJpM,2015-12-05 22:40,TweetDeck,,,,False,,,,,0.0,1.0,0.0,3.0,"[wisconsin4guns, guncontrol, SecondAmendment]",[],,
