,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,677929095724863488,4271904983,Heart Of Texas,ItsTimeToSecede,All Over Texas,TX patriots united for real action. GET READY TO SECEDE! #2A  #Texit #TexasSecede #Texodus,https://t.co/IKv4rYSgsq,5518,6052,2015-11-25,en,en,We don't want them here in Texas! #SyrianRefugees https://t.co/HRPGD0lHxE,2015-12-18 19:11,TweetDeck,,,,False,,,,,0.0,0.0,3.0,3.0,[SyrianRefugees],[],,
1,680342115419734016,3969530725,Being Patriotic,patriototus,"Texas, USA","Being patriotic means love or devotion to your homeland and readiness to defend it from any harm. United we stand, divided we fall.Conservative politics. #PJNet",https://t.co/VHkGqpc16v,12421,9410,2015-10-21,en,en,"An acceptance of 10,000 #SyrianRefugees looks like dishonoring the memory of 9/11 victims.https://t.co/AUBMwG64Kt https://t.co/UKcrPTDY0C",2015-12-25 10:59,Twitter Web Client,,,,False,,,,,0.0,1.0,12.0,17.0,[SyrianRefugees],[http://on.fb.me/1NFkBlF],,
2,665611432466055170,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"Hillary Clinton claims the US should accept 65,000 #SyrianRefugees. Where was she for the last 24 hours? https://t.co/4CccbTrqG6",2015-11-14 19:25,TweetDeck,,,,False,,,,,0.0,14.0,42.0,54.0,[SyrianRefugees],[],,
3,641256674347474944,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Denmark puts ad in Lebanese newspapers #migrantcrisis #refugeescrisis #SyrianRefugees http://t.co/agymXYA8wV,2015-09-08 14:27,Twitter Web Client,,,,False,,,,,0.0,2.0,4.0,15.0,"[migrantcrisis, refugeescrisis, SyrianRefugees]",[],,
4,692726552119898112,4271904983,Heart Of Texas,ItsTimeToSecede,All Over Texas,TX patriots united for real action. GET READY TO SECEDE! #2A  #Texit #TexasSecede #Texodus,https://t.co/IKv4rYSgsq,5518,6052,2015-11-25,en,en,#Texas Again Seeks to Bar #SyrianRefugees https://t.co/HmFNYR9fTq,2016-01-28 15:10,Twitter Web Client,,,,False,,,,,0.0,1.0,9.0,12.0,"[Texas, SyrianRefugees]",[],,
5,668135550499471360,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Thousands of life vests left behind show scale of migration #SyrianRefugees https://t.co/IOAd3FyIlh,2015-11-21 18:35,TweetDeck,,,,False,,,,,0.0,3.0,10.0,15.0,[SyrianRefugees],[],,
6,641205277631451136,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,And what is the percentage of #ISIS members among #SyrianRefugees?,2015-09-08 11:03,Twitter Web Client,,,,False,,,,,0.0,7.0,17.0,11.0,"[ISIS, SyrianRefugees]",[],,
7,665754302904975360,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"After #ParisAttacks it's wise for #Hillary to state at tonight's #DemDebate US should accept 65,000 #SyrianRefugees https://t.co/n8RWcBcwMs",2015-11-15 04:52,TweetDeck,,,,False,,,,,0.0,1.0,5.0,4.0,"[ParisAttacks, Hillary, DemDebate, SyrianRefugees]",[],,
8,666652551413043200,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,"We shouldn't accept any #SyrianRefugees without complete assurance those intend us no harm,' Speaker Ryan says https://t.co/gYcnoJbBcV",2015-11-17 16:22,TweetDeck,,,,False,,,,,0.0,7.0,11.0,9.0,[SyrianRefugees],[],,
9,677085071346688000,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,"You mean those pilgrims, who were invaders destroying culture and committing genocide? #SyrianRefugees https://t.co/tp1KG4Snsv",2015-12-16 11:17,Twitter Web Client,,,,False,,,,,0.0,2.0,6.0,11.0,[SyrianRefugees],[],,
