,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,573614320912740352,2951506251,Room Of Rumor,RoomOfRumor,,,,12357,8501,2014-12-30,en,en,"#Celebrities Robert Downey Jr. Just Won #TBT with This Hair-Gelled, Sweater-Vest-Wearing 1993 Photo (People Ma... http://t.co/uu8OOwPecn",2015-03-05 22:41,twitterfeed,,,,False,,,,,0.0,0.0,0.0,0.0,"[Celebrities, TBT]",[http://bit.ly/1Bcz7v0],,
1,555645078388355073,1650681522,Messiah Haynes,IlikeBIGbuttand,United States,The only true wisdom is in knowing you know nothing!,,5172,2833,2013-08-06,en,en,#TBT To Curry in his Davidson Days😳,2015-01-15 08:38,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[TBT],,,
2,880554679956000768,4437233895,Crystal Johnson,Crystal1Johnson,"Richmond, VA",It is our responsibility to promote the positive things that happen in our communities.,,56581,31117,2015-12-10,en,und,RT @violadavis: #TBT 📷: @GnLstudios https://t.co/tEZe6h5zEM,2017-06-29 22:32,Twitter Web Client,,,,True,2717254872,8.804885998875976e+17,,,0.0,0.0,0.0,0.0,[TBT],[],"[2717254872, 50868149]",
3,771691707972759553,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,This high school senior just re-created perhaps one of the funniest and cutest #TBT photos! https://t.co/cUfK4Ve8C7,2016-09-02 12:50,TweetDeck,,,,False,,,,,0.0,0.0,38.0,19.0,[TBT],[],,
4,567701408476966912,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,#TBT To Curry in his Davidson Days😳,2015-02-17 15:05,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[TBT],[],,
5,619168837036957696,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,Obama's stoned campaign #TBThursday #tbt http://t.co/GXDryJo9bb,2015-07-09 15:38,Twitter Web Client,,,,False,,,,,0.0,3.0,1.0,1.0,"[TBThursday, tbt]",[],,
6,778991846424883200,2530830345,New Orleans Online,NewOrleansON,"New Orleans, LA","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",,35988,11010,2014-05-05,en,en,#TBT: LSU's Raion Hill lights up 'The Night the Barn Burned' https://t.co/5uhug2OMQs,2016-09-22 16:18,twitterfeed,,,,False,,,,,0.0,0.0,0.0,0.0,[TBT],[http://bit.ly/2dkjz2w],,
7,606545357518929920,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,"RT @HeddRoxx: #TBT Jeff Hardy (@JEFFHARDYBRAND) sets up Brad Stutts (@Stuttsy) for a Twyst of Fate - June 10, 2006 - Burlington NC http://t…",2015-06-04 19:37,erased8269673,,,,True,37963733,6.06536593294377e+17,,,0.0,0.0,0.0,0.0,[TBT],[],"[19175537, 37963733, 43302753]",
8,654719998221381632,2547141851,Chicago Daily News,ChicagoDailyNew,"Chicago, IL","Local news, sports, business, politics, entertainment, travel and opinion for Chicago and Illinois. DM us 24/7",,23595,13665,2014-05-14,en,pt,#local #TBT Cubs Photos,2015-10-15 18:06,twitterfeed,,,,False,,,,,0.0,0.0,0.0,0.0,"[local, TBT]",[],,
9,576306492233547778,2573225349,Dominic Valentine,DominicValent,US,Try to be a rainbow in someone's cloud,,5116,4136,2014-05-31,en,en,#TBT To Curry in his Davidson Days😳,2015-03-13 08:59,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[TBT],[],,
10,784119564376301568,2530830345,New Orleans Online,NewOrleansON,"New Orleans, LA","Breaking news, weather, traffic and more for New Orleans and Louisiana. DM us anytime. RTs not endorsements",,35988,11010,2014-05-05,en,en,#TBT | Greg Jackson's pick-6 lead to LSU's last win in Gainesville for 16 years https://t.co/hkuTqWkcIZ,2016-10-06 19:54,twitterfeed,,,,False,,,,,0.0,0.0,0.0,0.0,[TBT],[http://bit.ly/2dW1hbD],,
