,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,725122139842596866,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,Donald Trump clean sweeps all delegates! That's voice of Americans! #MakeAmericaGreatAgain #PrimaryDay #Trump2016 https://t.co/oKN2E0NEL1,2016-04-27 00:39,TweetDeck,,,,False,,,,,0.0,5.0,137.0,131.0,"[MakeAmericaGreatAgain, PrimaryDay, Trump2016]",[],,
1,678003774535901184,4355797094,Texas Lone Star,SouthLoneStar,"Texas, USA",Proud TEXAN and AMERICAN patriot #2a #prolife #Trump2016 #TrumpPence16  Fuck Islam and PC.  Don't mess with Texas!,,53999,49272,2015-11-25,en,en,"Raqqa, Agrabah... That doesn't matter. Bomb the shit out of those Muslim fuckers. Revenge for 9/11. #Trump2016 https://t.co/rDrc9iHaWj",2015-12-19 00:07,TweetDeck,,,,False,,,,,0.0,0.0,1.0,2.0,[Trump2016],[],,
2,652968990873112576,2912754262,Pigeon Today,PigeonToday,United States,"America’s Weakest Primetime Lineup Anywhere! Follow Merica's #1 cable news network, delivering you breaking news, insightful analysis, and must-see memes.",http://t.co/h5ZYn94UBQ,32347,21336,2014-12-09,en,en,When someone tells you- you can't be a president #Trump2016 http://t.co/WItcEutdHc,2015-10-10 22:08,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,4.0,[Trump2016],[],,
3,764476845098020864,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,Everyone knows it still there are idiots out there supporting that criminal! #HillaryForPrison #Trump2016 https://t.co/bJOpW0r1UZ,2016-08-13 15:00,TweetDeck,,,,False,,,,,8.0,4.0,69.0,80.0,"[HillaryForPrison, Trump2016]",[],,
4,737403970214199297,4437444442,Pamela Kealer,PamelaKealer13,"Texas, USA",,,10226,10184,2015-12-10,en,en,"#Trump2016: ""Illegals are taken care of better than our veterans."" https://t.co/f2l7D6Q2xm https://t.co/9Dopn0o1ar",2016-05-30 22:03,Twitter Web Client,,,,False,,,,,0.0,1.0,37.0,60.0,[Trump2016],[http://www.dailymail.co.uk/news/article-3615400/Illegals-taken-care-better-veterans-Trump-promises-better-care-servicemen-speech-thousands-ex-military-bikers-Rolling-Thunder-rally.html],,
5,709895129163640832,4437444442,Pamela Kealer,PamelaKealer13,"Texas, USA",,,10226,10184,2015-12-10,en,en,Meanwhile Donald Trump WINS FLORIDA!!! 👍 👍 👍  #FloridaPrimary #FLPrimary #Trump2016 https://t.co/SdWDAo49Oy,2016-03-16 00:12,Twitter Web Client,,,,False,,,,,0.0,1.0,21.0,16.0,"[FloridaPrimary, FLPrimary, Trump2016]",[],,
6,730189645204488192,4437444442,Pamela Kealer,PamelaKealer13,"Texas, USA",,,10226,10184,2015-12-10,en,en,Exit polls: Nearly half of W.Va. Sanders backers would vote Trump https://t.co/ObxYECYfGy  #Trump2016 https://t.co/Z2LNxPypX9,2016-05-11 00:15,Twitter Web Client,,,,False,,,,,0.0,9.0,151.0,160.0,[Trump2016],[http://thehill.com/blogs/ballot-box/presidential-races/279430-nearly-half-of-sanders-voters-in-west-virginia-would-vote],,
7,753252847115001856,4508630900,John Davis,TheFoundingSon,"Texas, USA","Business Owner, Proud Father, Conservative, Christian, Patriot, Gun rights, Politically Incorrect. Love my country and my family #2A #GOP #tcot #WakeUpAmerica",,47413,29429,2015-12-09,en,en,"That is more wars, more dead Americans, more poor trade deals, more refugees and aliens... #Trump2016 https://t.co/dMBsKlcwnD",2016-07-13 15:40,TweetDeck,,,,False,,,,,3.0,4.0,84.0,98.0,[Trump2016],[],,
8,725055497607471104,4289431230,Red Louisiana News,redlanews,"Lafayette, LA",Conservative; Right and proud; Christian. Love my country and will stand against liberals and socialists.,,9787,8336,2015-11-19,en,en,Happy birthday to our future First Lady! @MELANIATRUMP  Ad today we win as always #ElectionPlotTwist #Trump2016 https://t.co/7opXKXu4Wk,2016-04-26 20:14,TweetDeck,,,,False,,,,,0.0,8.0,68.0,52.0,"[ElectionPlotTwist, Trump2016]",[],[108471631],
9,753328211010916352,4224729994,Tennessee,TEN_GOP,,"Unofficial Twitter of Tennessee Republicans. Covering breaking news, national politics, foreign policy and more. #MAGA #2A",,147767,74664,2015-11-19,en,en,BOOM! Great news from Florida!  New Poll: Trump - 42% Hillary - 39% #MAGA #Trump2016 https://t.co/xOGNqLd3CZ,2016-07-13 20:40,TweetDeck,,,,False,,,,,2.0,5.0,111.0,114.0,"[MAGA, Trump2016]",[],,
