,tweetid,userid,user_display_name,user_screen_name,user_reported_location,user_profile_description,user_profile_url,follower_count,following_count,account_creation_date,account_language,tweet_language,tweet_text,tweet_time,tweet_client_name,in_reply_to_tweetid,in_reply_to_userid,quoted_tweet_tweetid,is_retweet,retweet_userid,retweet_tweetid,latitude,longitude,quote_count,reply_count,like_count,retweet_count,hashtags,urls,user_mentions,poll_choices
0,809501582182273028,4859142199,Traynesha Cole 🌐,TrayneshaCole,,Love for all my people of Melanin. Your BLACK is BEAUTIFUL! #MyPussyMyChoice #BlackGirlsMagic #BlackLivesMatter,,25373,12977,2016-02-04,en,en,RT @DarkLadyNebula: I like this💜👍😊💚 #truth https://t.co/TPJrpZjIWs,2016-12-15 20:53,Twitter Web Client,,,8.091306009049784e+17,True,39647551,8.094676377512878e+17,,,0.0,0.0,0.0,0.0,[truth],[https://twitter.com/TrayneshaCole/status/809130600904978432],[39647551],
1,544471364489330688,2573225349,Dominic Valentine,DominicValent,US,Try to be a rainbow in someone's cloud,,5116,4136,2014-05-31,en,und,Yes. #truth,2014-12-15 12:37,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,0.0,[truth],,,
2,659561034391252992,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,en,Corruption In caddo parish: the #Truth revealed  https://t.co/XnATlgCEBw https://t.co/pUvBev4qDW,2015-10-29 02:42,Twitter Web Client,,,,False,,,,,0.0,0.0,0.0,1.0,[Truth],[http://theinformer.la/sheriff-steve-prator-ruler-for-life/],,
3,606267484400844800,1687183549,Bleep The Police,BleepThePolice,USA,"For a second at least, I'm resurrecting the peace  #Blacktivist #BlackLivesMatter",,21098,8599,2013-08-21,en,und,RT @jay_garrelts: #holdacokewithyourboobchallange #truth http://t.co/8zISEucX6I,2015-06-04 01:13,Twitter Nation,,,,True,3108816367,6.062569546970726e+17,,,0.0,0.0,0.0,0.0,"[holdacokewithyourboobchallange, truth]",[],[3108816367],
4,686556170941808640,2882350436,Christian Morgan,ChrixMorgan,USA,I'm so funny. I can make myself laugh,,22035,9795,2014-10-29,en,en,RT @Lambjrstephen: #IfIWereACop I'd be risking my life for those who don't seem to respect life anyway #Truth,2016-01-11 14:32,Twitter Web Client,,,,True,1058559158,6.865558716068946e+17,,,0.0,0.0,0.0,0.0,"[IfIWereACop, Truth]",[],[1058559158],
5,762658743268016128,2882037326,Dana Gold,DanaGeezus,USA,Producer,,24920,12434,2014-10-29,en,en,RT @Skye_McNeil7: #IStartCryingWhen I stare at the hundreds of pages in my novel that I need to edit #writerslife #amediting #amwriting #tr…,2016-08-08 14:36,Twitter Web Client,,,,True,741805148,7.626583829730632e+17,,,0.0,0.0,0.0,0.0,"[IStartCryingWhen, writerslife, amediting, amwriting, truth]",[],[741805148],
6,602514547933466624,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,und,#Truth http://t.co/vIHWovuzqH,2015-05-24 16:40,Twitter Web Client,,,,False,,,,,0.0,0.0,1.0,2.0,[Truth],[],,
7,772786816604839937,2882013788,Giselle Evans,GiselleEvns,"Pittsburgh, US","if you don't work hard to achieve your dreams, you'll never achieve them",,28107,13442,2014-10-29,en,en,RT @toolguybak: #ToAvoidWorkI check Twitter for the latest @tlcprincess selfies. #truth,2016-09-05 13:21,TweetDeck,,,,True,1154203567,7.727862769238344e+17,,,0.0,0.0,0.0,0.0,"[ToAvoidWorkI, truth]",[],"[1154203567, 46900681]",
8,688875306921385984,3312143142,1-800-WOKE-AF,gloed_up,StLouis,No black person is ugly  #BRONZE #BlackLivesMatter #BlackToLive,,28943,12906,2015-08-11,en,en,"this is part of a ""planned deceptive disinformation""ploy to alter ""#history"" and/or an attempt to hide the ""#truth""! https://t.co/wr6VxeQuDF",2016-01-18 00:07,Twitter Web Client,,,,False,,,,,0.0,1.0,41.0,53.0,"[history, truth]",[],,
9,604105645499932672,2882331822,Jenna Abrams,Jenn_Abrams,USA,"Calm down, I'm not pro-Trump. I am pro-common sense. Any offers/ideas/questions? DM or email me jennnabrams@gmail.com (Yes, there are 3 Ns)",https://t.co/ZXoG0JPLdf,79152,22607,2014-10-29,en,en,#truth agains lies http://t.co/RkBmmquGxf,2015-05-29 02:03,TweetDeck,,,,False,,,,,0.0,1.0,1.0,1.0,[truth],[],,
